ISO2,ISO_3,country_agg,age,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
IT,ITA,Italy,4,2021-10-02,2021-10-02,611,611,1,0.00327332242225859,0.00452907924743478,0.00424757413001071,4.40586622167489e-05,0.0016366612111293,0.00320517091526758,0.00331309554011267,3.89297390059685e-05,0.00269476891690742,0.000447379694583239,96,3,64,541,0.00373178740411771,0.00401479131333756,0.00374610227584533,3.52427946342372e-05,0.00242426225732751,0.00293083170358865,0.00244408914739568,2.58071529374105e-05,0.00237363302096231,0.000396714825989422,0.105785123966942,,0.00373178740411771
IT,ITA,Italy,4,2021-10-03,2021-10-03,698,698,1,0.00429799426934097,0.00485308599286876,0.00413370932544319,4.24761114110967e-05,0.00286532951289398,0.0039653778350715,0.00218040367773213,3.08793916143057e-05,0.00215171556959059,0.000373820703468449,101,0,95,594,0.00379815684502803,0.00407599609966095,0.00381943259208596,3.57053028336591e-05,0.0024608660442579,0.00297079776119355,0.0024874450931056,2.61191370224751e-05,0.0024098196300783,0.000400697937830895,0.137880986937591,,0.00379815684502803
IT,ITA,Italy,4,2021-10-04,2021-10-04,492,492,1,0,0,0,0,0,0,0,0,0.00151738442287436,0.000374406768769179,76,3,77,412,0.00386302126259726,0.00413747356077752,0.00389153910738767,3.61766656869258e-05,0.00249572133119482,0.0030107550668038,0.00252922170328784,2.6436386212116e-05,0.00244765643978901,0.000404702768677347,0.157464212678937,,0.00386302126259726
IT,ITA,Italy,4,2021-10-05,2021-10-05,669,669,1,0.00298953662182362,0.00413701246226477,0.00368768076953019,4.03234008531083e-05,0.00149476831091181,0.00292750163034662,0.00160727870902669,2.66488849997533e-05,0.00212760977120386,0.000380265519302647,117,2,87,574,0.00392537764371912,0.00419844864950701,0.00396137202921436,3.66502239868419e-05,0.00252814223300914,0.00305001987711448,0.00256872887096728,2.67531600084338e-05,0.00248692338669362,0.000408707767123322,0.131618759455371,,0.00392537764371912
IT,ITA,Italy,4,2021-10-06,2021-10-06,625,625,1,0.0112,0.00825033004889441,0.00978311471723559,6.60136138528468e-05,0.0096,0.00764449876277035,0.0089567483134479,6.31904227964445e-05,0.0029898170642874,0.000466973975631611,106,6,96,523,0.00398438328717164,0.00425821312096239,0.00402807496958244,3.71200786399869e-05,0.00255771489904496,0.00308813620271131,0.00260558770909206,2.70660925970968e-05,0.00252741532359125,0.000412694039336308,0.155088852988691,,0.00398438328717164
IT,ITA,Italy,4,2021-10-07,2021-10-07,623,623,1,0,0,0,0,0,0,0,0,0.00316120785141215,0.000480130797300064,79,2,1,7,0.00403919256164418,0.0043160373430414,0.00409079844326879,3.7580245645055e-05,0.00258398886618972,0.00312461868668466,0.00263939781283095,2.73716290635163e-05,0.00256900242219075,0.000416648086468881,0.125,,0.00403919256164418
IT,ITA,Italy,4,2021-10-08,2021-10-08,549,549,1,0.00910746812386157,0.00794646594174794,0.0119111825132752,7.3140214501701e-05,0.00546448087431694,0.00616661057089567,0.00943615945644683,6.51807973306945e-05,0.00422355868271719,0.000591548342308631,82,4,0,0,0.00408928570927038,0.00437136544576754,0.00414890198615738,3.80256227797137e-05,0.00260673943967105,0.00315908891341601,0.00266988471238023,2.7666501461417e-05,0.00261154155960577,0.00042055762596207,,,0.00408928570927038
IT,ITA,Italy,4,2021-10-09,2021-10-09,664,664,1,0.00602409638554217,0.00588569747246816,0.00556585671521629,5.01623331407993e-05,0.00602409638554217,0.00588569747246816,0.00556585671521629,5.01623331407993e-05,0.00196503938712522,0.000366856218864095,110,3,0,0,0.00413421345017953,0.00442369125107031,0.00420182252930223,3.84515339035014e-05,0.00262594579167666,0.00319137097942333,0.00269698176619134,2.79492401851542e-05,0.00265486787134476,0.000424411310890643,,,0.00413421345017953
IT,ITA,Italy,4,2021-10-10,2021-10-10,670,670,1,0.00746268656716418,0.00651675977111306,0.0081237063488746,5.93531703474779e-05,0.00447761194029851,0.0050554454817117,0.00285184399720538,3.52598764286472e-05,0.00441267325060004,0.000545782412305125,92,3,0,0,0.00417363207497419,0.00447253725970929,0.00424905403585354,3.88534076848834e-05,0.00264152659215929,0.00322121003755188,0.00272049842249176,2.8217382160532e-05,0.00269888028198158,0.000428201590921937,,,0.00417363207497419
IT,ITA,Italy,4,2021-10-11,2021-10-11,662,662,1,0.00453172205438067,0.00511639942572386,0.00503018854701897,4.58754483301738e-05,0.00302114803625378,0.00418069102854022,0.00349828136115005,3.82868495441823e-05,0.00216809345712816,0.000385888732683942,114,2,0,0,0.00420749572107954,0.00451762396549251,0.00429034471797231,3.92280305890208e-05,0.00265369116945011,0.00324862999114762,0.00274052595850873,2.84707745360928e-05,0.00274349619969635,0.000431924622023072,,,0.00420749572107954
