"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"172","2020/06/20","AU",25203200,50,0,7461,102,194,176,0.000296033836973083,1.983875063484e-06,7.69743524631793e-06,6.98324022346369e-06
"173","2020/06/21","AU",25203200,13,0,7474,102,200,185,0.000296549644489589,5.15807516505841e-07,7.93550025393601e-06,7.34033773489081e-06
"174","2020/06/22","AU",25203200,18,0,7492,102,207,198,0.000297263839512443,7.14195022854241e-07,8.21324276282377e-06,7.85614525139665e-06
"175","2020/06/23","AU",25203200,29,1,7521,103,232,201,0.000298414487049264,1.15064753682072e-06,9.20518029456577e-06,7.97517775520569e-06
"176","2020/06/24","AU",25203200,37,1,7558,104,264,223,0.000299882554596242,1.46806754697816e-06,1.04748603351955e-05,8.84808278313865e-06
"177","2020/06/25","AU",25203200,37,0,7595,104,275,248,0.00030135062214322,1.46806754697816e-06,1.0911312849162e-05,9.84002031488065e-06
"178","2020/06/26","AU",25203200,6,0,7601,104,266,231,0.000301588687150838,2.3806500761808e-07,1.05542153377349e-05,9.16550279329609e-06
"179","2020/06/27","AU",25203200,85,0,7686,104,339,295,0.000304961274758761,3.3725876079228e-06,1.34506729304215e-05,1.17048628745556e-05
"180","2020/06/28","AU",25203200,78,0,7764,104,394,355,0.000308056119857796,3.09484509903504e-06,1.56329355002539e-05,1.40855129507364e-05
"181","2020/06/29","AU",25203200,70,0,7834,104,443,423,0.000310833544946673,2.7774250888776e-06,1.75771330624683e-05,1.67835830370747e-05
"182","2020/06/30","AU",25203200,86,0,7920,104,511,459,0.000314245810055866,3.41226510919248e-06,2.02752031488065e-05,1.82119730827831e-05
"183","2020/07/01","AU",25203200,81,0,8001,104,590,527,0.00031745968765871,3.21387760284408e-06,2.34097257491112e-05,2.09100431691214e-05
"184","2020/07/02","AU",25203200,65,0,8066,104,605,574,0.000320038725241239,2.5790375825292e-06,2.40048882681564e-05,2.27748857287963e-05
"185","2020/07/03","AU",25203200,194,0,8260,104,786,739,0.000327736160487557,7.69743524631793e-06,3.11865159979685e-05,2.93216734382935e-05
"186","2020/07/04","AU",25203200,183,0,8443,104,951,885,0.000334997143219909,7.26098273235145e-06,3.77333037074657e-05,3.51145886236668e-05
"187","2020/07/05","AU",25203200,140,2,8583,106,1062,988,0.000340551993397664,5.55485017775521e-06,4.21375063484002e-05,3.92013712544439e-05
"188","2020/07/06","AU",25203200,172,0,8755,106,1197,1154,0.000347376523616049,6.82453021838497e-06,4.7493969019807e-05,4.57878364652108e-05
"189","2020/07/07","AU",25203200,131,0,8886,106,1291,1200,0.000352574276282377,5.19775266632809e-06,5.12236541391569e-05,4.76130015236161e-05
"190","2020/07/08","AU",25203200,170,0,9056,106,1455,1292,0.000359319451498222,6.74517521584561e-06,5.77307643473845e-05,5.12633316404266e-05
"191","2020/07/09","AU",25203200,318,0,9374,106,1688,1540,0.000371936896901981,1.26174454037583e-05,6.69756221432199e-05,6.11033519553073e-05
"192","2020/07/10","AU",25203200,179,1,9553,107,1789,1633,0.000379039169629253,7.10227272727273e-06,7.09830497714576e-05,6.47933595733875e-05
"193","2020/07/11","AU",25203200,244,1,9797,108,1963,1796,0.000388720479939055,9.68131030980193e-06,7.78869349923819e-05,7.12607922803454e-05
"194","2020/07/12","AU",25203200,183,0,9980,108,2060,1914,0.000395981462671407,7.26098273235145e-06,8.17356526155409e-05,7.59427374301676e-05
"195","2020/07/13","AU",25203200,271,0,10251,108,2250,1991,0.00040673406551549,1.07526028440833e-05,8.92743778567801e-05,7.8997905027933e-05
"196","2020/07/14","AU",25203200,236,3,10487,111,2421,2044,0.000416097955815135,9.36389029964449e-06,9.60592305738954e-05,8.1100812595226e-05
"197","2020/07/15","AU",25203200,323,2,10810,113,2550,2227,0.000428913788725241,1.28158329101067e-05,0.000101177628237684,8.83617953275775e-05
"198","2020/07/16","AU",25203200,423,3,11233,116,2790,2478,0.000445697371762316,1.67835830370747e-05,0.000110700228542407,9.83208481462671e-05
"199","2020/07/17","AU",25203200,208,2,11441,118,2858,2555,0.000453950292026409,8.25292026409345e-06,0.000113398298628746,0.000101376015744033
"200","2020/07/18","AU",25203200,361,4,11802,122,3047,2746,0.000468273869984764,1.43235779583545e-05,0.000120897346368715,0.000108954418486541
"201","2020/07/19","AU",25203200,267,1,12069,123,3183,2695,0.000478867762823768,1.05938928390046e-05,0.000126293486541392,0.000106930865921788
"202","2020/07/20","AU",25203200,359,3,12428,126,3372,2875,0.000493111985779584,1.42442229558151e-05,0.000133792534281361,0.00011407281615033
"203","2020/07/21","AU",25203200,466,2,12894,128,3520,3097,0.000511601701371254,1.84897155916709e-05,0.000139664804469274,0.000122881221432199
"204","2020/07/22","AU",25203200,408,5,13302,133,3749,3322,0.000527790121889284,1.61884205180295e-05,0.00014875095226003,0.000131808659217877
"205","2020/07/23","AU",25203200,293,6,13595,139,3798,3344,0.0005394156297613,1.16255078720163e-05,0.000150695149822245,0.00013268156424581
"206","2020/07/24","AU",25203200,355,6,13950,145,3970,3463,0.000553501142712037,1.40855129507364e-05,0.00015751968004063,0.000137403186896902
"207","2020/07/25","AU",25203200,453,10,14403,155,4152,3593,0.000571475050787202,1.79739080751651e-05,0.000164740985271712,0.00014256126206196
"208","2020/07/26","AU",25203200,532,6,14935,161,4448,3702,0.000592583481462671,2.11084306754698e-05,0.000176485525647537,0.000146886109700356
"209","2020/07/27","AU",25203200,368,6,15303,167,4493,3862,0.000607184801929914,1.46013204672423e-05,0.000178271013204672,0.000153234509903504
"210","2020/07/28","AU",25203200,279,9,15582,176,4349,3780,0.000618254824784154,1.10700228542407e-05,0.000172557453021838,0.000149980954799391
