"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"79","2020/03/19","US",329064917,4494,72,13662,266,13260,13069,4.1517643766321e-05,1.36568797457068e-05,4.02960003177732e-05,3.97155677340104e-05
"80","2020/03/20","US",329064917,6367,106,20029,372,19511,19248,6.08664095297646e-05,1.93487657634436e-05,5.92922520512875e-05,5.84930176558445e-05
"81","2020/03/21","US",329064917,5995,103,26024,475,25431,24878,7.90846992661937e-05,1.82182897364291e-05,7.72826232338831e-05,7.56021037636169e-05
"82","2020/03/22","US",329064917,8873,122,34897,597,34116,33312,0.000106048983641729,2.69642843755355e-05,0.000103675591767809,0.000101232304870713
"83","2020/03/23","US",329064917,11238,192,46135,789,44989,43917,0.00014020029974815,3.41513161064204e-05,0.000136717704245573,0.000133459988382779
"84","2020/03/24","US",329064917,10619,243,56754,1032,55169,53777,0.00017247052805693,3.22702283087808e-05,0.000167653849285915,0.000163423680926764
"85","2020/03/25","US",329064917,12082,333,68836,1365,66618,65625,0.000209186687622491,3.67161595655607e-05,0.00020244637625712,0.000199428734604364
"86","2020/03/26","US",329064917,17856,419,86692,1784,83715,82014,0.000263449536919185,5.42628492966936e-05,0.000254402689789018,0.000249233496988073
"87","2020/03/27","US",329064917,18690,522,105382,2306,102171,98871,0.000320246840534508,5.67973036153228e-05,0.00031048888751638,0.000300460471147704
"88","2020/03/28","US",329064917,19630,642,125012,2948,120334,115844,0.000379900723357878,5.96538828233701e-05,0.000365684683426766,0.000352039959337264
"89","2020/03/29","US",329064917,18899,624,143911,3572,137400,130249,0.000437333160009883,5.74324366520057e-05,0.000417546790623079,0.000395815516243562
"90","2020/03/30","US",329064917,22075,713,165986,4285,156818,145957,0.000504417187688228,6.70840276783441e-05,0.000476556423667613,0.000443550778158463
"91","2020/03/31","US",329064917,26314,1085,192300,5370,178638,166276,0.000584383172029244,7.99659843410168e-05,0.000542865528262923,0.000505298472763051
"92","2020/04/01","US",329064917,32286,1283,224586,6653,204557,189689,0.000682497551083515,9.81143790542703e-05,0.00062163114155375,0.000576448567441785
"93","2020/04/02","US",329064917,32222,1513,256808,8166,230784,210673,0.000780417439638514,9.7919888554999e-05,0.00070133274037232,0.000640217139890364
"94","2020/04/03","US",329064917,32307,1432,289115,9598,254218,232361,0.000878595635887857,9.81781962493437e-05,0.000772546652246128,0.000706125107830927
"95","2020/04/04","US",329064917,32386,1567,321501,11165,275366,252665,0.000977013906347239,9.84182704593817e-05,0.000836813606599089,0.000767827218724748
"96","2020/04/05","US",329064917,29895,1615,351396,12780,294642,264704,0.0010678622419053,9.08483355580565e-05,0.000895391713848365,0.000804412704986111
"97","2020/04/06","US",329064917,31390,1772,382786,14552,313950,277404,0.00116325375396977,9.53915120644721e-05,0.000954067066347276,0.00084300691343526
"98","2020/04/07","US",329064917,30779,2574,413565,17126,326873,288553,0.00125678848954901,9.35347355792413e-05,0.000993338952629824,0.000876887766191131
"99","2020/04/08","US",329064917,31235,2161,444800,19287,339418,300889,0.00135170896993556,9.49204803865494e-05,0.00103146212940105,0.000914375809925675
"100","2020/04/09","US",329064917,35942,2209,480742,21496,355730,314756,0.0014609336187607,0.000109224648825144,0.00108103289540282,0.000956516431072474
"101","2020/04/10","US",329064917,34403,2197,515145,23693,371234,322845,0.00156548137886118,0.000104547760100479,0.0011281482188513,0.000981098206831936
"102","2020/04/11","US",329064917,29083,2125,544228,25818,378242,319642,0.00165386211620973,8.83807373485518e-05,0.00114944492852151,0.000971364565126218
"103","2020/04/12","US",329064917,27256,1875,571484,27693,379184,314676,0.0017366907575869,8.28286413771663e-05,0.00115230758555765,0.000956273317948385
"104","2020/04/13","US",329064917,26939,2015,598423,29708,373837,309308,0.00181855606320986,8.18653056229631e-05,0.00113605851212635,0.000939960427322005
"105","2020/04/14","US",329064917,28818,2439,627241,32147,370433,305740,0.00190613148833487,8.75754251250066e-05,0.00112571404869635,0.00092911758198763
"106","2020/04/15","US",329064917,25408,2611,652649,34758,363534,301253,0.00198334421654558,7.72127282107074e-05,0.00110474858065772,0.00091548197464028
"107","2020/04/16","US",329064917,30002,2155,682651,36913,361150,299865,0.0020745177159071,9.11734993615257e-05,0.00109750380955986,0.000911263961937334
"108","2020/04/17","US",329064917,33066,2113,715717,39026,364321,302152,0.00217500244792124,0.000100484732014139,0.00110714020601595,0.000918213958372232
"109","2020/04/18","US",329064917,27907,1973,743624,40999,360838,298824,0.00225980942234568,8.48069744244416e-05,0.00109655566837592,0.000908100452410124
"110","2020/04/19","US",329064917,26062,1976,769686,42975,356121,288944,0.00233900960034582,7.92001780001361e-05,0.00108222111079681,0.000878075981585117
"111","2020/04/20","US",329064917,29820,2235,799506,45210,354706,284361,0.00242963001735004,9.06204170042229e-05,0.00107792104741448,0.000864148638488861
"112","2020/04/21","US",329064917,25926,2502,825432,47712,344690,281204,0.00250841690303923,7.87868856891846e-05,0.00104748328427852,0.000854554786829494
"113","2020/04/22","US",329064917,28911,2465,854343,50177,339198,282859,0.00259627494717099,8.78580441317602e-05,0.00103079356830981,0.000859584189584087
"114","2020/04/23","US",329064917,33612,2461,887955,52638,343727,289532,0.00269841892625703,0.000102143979086048,0.0010445568100473,0.000879862863047172
"115","2020/04/24","US",329064917,32327,2186,920282,54824,348798,293041,0.0027966579007874,9.8238974530366e-05,0.0010599671432005,0.000890526412452531
"116","2020/04/25","US",329064917,30380,1718,950662,56542,352239,298013,0.00288898010966025,9.23222088728468e-05,0.00107042404645038,0.000905635893114671
"117","2020/04/26","US",329064917,26488,1404,977150,57946,349909,294499,0.00296947486504616,8.04947553859107e-05,0.00106334337671129,0.000894957149139056
