"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active","p_cases_active_smooth"
2020-11-08,"MA",256781,4272,36471766,4596,75,4596,256781,45960,0.00704054199075526,0.000126015285357994,0.00126015285357994,0.00121350408174182
2020-11-09,"MA",259951,4356,36471766,3170,84,3170,259951,31700,0.00712745853875022,8.69165479949614e-05,0.000869165479949614,0.00122083605011695
2020-11-10,"MA",265165,4425,36471766,5214,69,5214,265165,52140,0.00727041843819682,0.000142959899446602,0.00142959899446602,0.00122657046199745
2020-11-11,"MA",270626,4506,36471766,5461,81,5461,270626,54610,0.00742015069958499,0.000149732261388165,0.00149732261388165,0.00123064952595734
2020-11-12,"MA",276821,4570,36471766,6195,64,6195,276821,61950,0.00759000811751205,0.000169857417927062,0.00169857417927062,0.00123303781433665
2020-11-13,"MA",282336,4631,36471766,5515,61,5515,282336,55150,0.00774122097624776,0.000151212858735714,0.00151212858735714,0.00123370866392651
2020-11-14,"MA",288211,4697,36471766,5875,66,5875,288211,58750,0.00790230448396713,0.000161083507719368,0.00161083507719368,0.00123266563134426
2020-11-15,"MA",293177,4779,36471766,4966,82,4966,293177,49660,0.00803846460300277,0.00013616011903564,0.0013616011903564,0.001229937421114
2020-11-16,"MA",296189,4850,36471766,3012,71,3012,296189,30120,0.00812104903283268,8.25844298299128e-05,0.000825844298299128,0.00122555885190558
2020-11-17,"MA",301604,4932,36471766,5415,82,5415,301604,54150,0.00826952004462849,0.000148471011795809,0.00148471011795809,0.00121958367155105
2020-11-18,"MA",306995,5013,36471766,5391,81,5391,306995,53910,0.00841733301315873,0.000147812968530232,0.00147812968530232,0.00121208277022462
2020-11-19,"MA",311554,5090,36471766,4559,77,4559,311554,45590,0.00854233381514896,0.00012500080199023,0.0012500080199023,0.00120313290940179
2020-11-20,"MA",316260,5182,36471766,4706,92,4706,316260,47060,0.00867136513214085,0.000129031316991889,0.00129031316991889,0.00119281781516808
2020-11-21,"MA",320962,5256,36471766,4702,74,4702,320962,47020,0.00880028677525514,0.000128921643114293,0.00128921643114293,0.00118123421878981
2020-11-22,"MA",324941,5316,36471766,3979,60,3979,324941,39790,0.00890938486499392,0.000109098089738786,0.00109098089738786,0.00116848474379436
2020-11-23,"MA",327528,5396,36471766,2587,80,2587,327528,25870,0.00898031644532924,7.09315803353202e-05,0.000709315803353202,0.00115466527402533
2020-11-24,"MA",331527,5469,36471766,3999,73,3999,331527,39990,0.00908996290445601,0.000109646459126767,0.00109646459126767,0.00113987666839205
2020-11-25,"MA",336506,5539,36471766,4979,70,4979,336506,49790,0.00922647946359384,0.000136516559137827,0.00136516559137827,0.00112421858739888
2020-11-26,"MA",340684,5619,36471766,4178,80,4178,340684,41780,0.00934103382874303,0.000114554365149195,0.00114554365149195,0.00110778530124701
2020-11-27,"MA",345276,5689,36471766,4592,70,4592,345276,45920,0.00946693944022343,0.000125905611480398,0.00125905611480398,0.00109065672325769
2020-11-28,"MA",349688,5739,36471766,4412,50,4412,349688,44120,0.009587909727212,0.000120970286988571,0.00120970286988571,0.00107292517390188
2020-11-29,"MA",353803,5789,36471766,4115,50,4115,353803,41150,0.00970073672878906,0.000112827001577056,0.00112827001577056,0.00105467535137805
2020-11-30,"MA",356336,5846,36471766,2533,57,2533,356336,25330,0.00977018771177683,6.9450982987772e-05,0.00069450982987772,0.00103598402416931
2020-12-01,"MA",359844,5915,36471766,3508,69,3508,359844,35080,0.00986637170242867,9.61839906518374e-05,0.000961839906518374,0.00101692219280215
2020-12-02,"MA",364190,5985,36471766,4346,70,4346,364190,43460,0.0099855323704369,0.000119160668008234,0.00119160668008234,0.000997561591503505
2020-12-03,"MA",368624,6063,36471766,4434,78,4434,368624,44340,0.0101071058637523,0.00012157349331535,0.0012157349331535,0.000977963699067552
2020-12-04,"MA",372620,6136,36471766,3996,73,3996,372620,39960,0.0102166700674708,0.00010956420371857,0.0010956420371857,0.000958181865350977
2020-12-05,"MA",376738,6184,36471766,4118,48,4118,376738,41180,0.0103295793244561,0.000112909256985253,0.00112909256985253,0.000938275518177817
2020-12-06,"MA",379657,6245,36471766,2919,61,2919,379657,29190,0.0104096138366319,8.0034512175802e-05,0.00080034512175802,0.000918300356290717
2020-12-07,"MA",381188,6320,36471766,1531,75,1531,381188,15310,0.0104515915132818,4.19776766499324e-05,0.000419776766499324,0.000898305982189945
2020-12-08,"MA",384088,6370,36471766,2900,50,2900,384088,29000,0.010531105074539,7.95135612572202e-05,0.000795135612572202,0.000878334982038606
2020-12-09,"MA",388184,6427,36471766,4096,57,4096,388184,40960,0.0106434111251975,0.000112306050658474,0.00112306050658474,0.000858432624005737
2020-12-10,"MA",391529,6492,36471766,3345,65,3345,391529,33450,0.0107351259053373,9.17147801397936e-05,0.000917147801397936,0.000838633833262337
2020-12-11,"MA",394564,6542,36471766,3035,50,3035,394564,30350,0.0108183409599634,8.32150546260908e-05,0.000832150546260908,0.000818963583536823
2020-12-12,"MA",397597,6589,36471766,3033,47,3033,397597,30330,0.0109015011776507,8.31602176872927e-05,0.000831602176872927,0.000799457554962501
2020-12-13,"MA",399609,6624,36471766,2012,35,2012,399609,20120,0.0109566671380816,5.51659604308714e-05,0.000551659604308714,0.000780141593644834
2020-12-14,"MA",400826,6659,36471766,1217,35,1217,400826,12170,0.0109900354153402,3.33682772586334e-05,0.000333682772586334,0.000761038636952042
2020-12-15,"MA",403619,6711,36471766,2793,52,2793,403619,27930,0.0110666152003717,7.65797850315227e-05,0.000765797850315227,0.000742158923072025
2020-12-16,"MA",406970,6749,36471766,3351,38,3351,406970,33510,0.0111584944913279,9.18792909561879e-05,0.000918792909561879,0.000723518571613182
2020-12-17,"MA",409746,6804,36471766,2776,55,2776,409746,27760,0.0112346081623796,7.6113671051739e-05,0.00076113671051739,0.000705127190610414
2020-12-18,"MA",412393,6854,36471766,2647,50,2647,412393,26470,0.0113071848508789,7.25766884992627e-05,0.000725766884992627,0.000686981842756483
2020-12-19,"MA",415226,6909,36471766,2833,55,2833,415226,28330,0.0113848613746864,7.76765238074844e-05,0.000776765238074844,0.000669090257349761
2020-12-20,"MA",417125,6957,36471766,1899,48,1899,417125,18990,0.0114369290480752,5.20676733887797e-05,0.000520676733887797,0.000651461841783669
2020-12-21,"MA",418002,7000,36471766,877,43,877,418002,8770,0.0114609750457381,2.40459976629593e-05,0.000240459976629593,0.000634096261548636
2020-12-22,"MA",420648,7030,36471766,2646,30,2646,420648,26460,0.011533524315768,7.25492700298636e-05,0.000725492700298636,0.000616992167820597
2020-12-23,"MA",423214,7086,36471766,2566,56,2566,423214,25660,0.0116038801082459,7.03557924779403e-05,0.000703557924779403,0.000600157054542025
2020-12-24,"MA",425864,7130,36471766,2650,44,2650,425864,26500,0.0116765390521534,7.26589439074598e-05,0.000726589439074598,0.00058359244244415
2020-12-25,"MA",428193,7170,36471766,2329,40,2329,428193,23290,0.0117403966673838,6.38576152303675e-05,0.000638576152303675,0.000567291821464365
2020-12-26,"MA",430562,7204,36471766,2369,34,2369,430562,23690,0.0118053510213901,6.49543540063292e-05,0.000649543540063292,0.000551268337588767
2020-12-27,"MA",432079,7240,36471766,1517,36,1517,432079,15170,0.0118469448394684,4.15938180783459e-05,0.000415938180783459,0.000535530191182679
2020-12-28,"MA",433029,7272,36471766,950,32,950,433029,9500,0.0118729923853975,2.60475459290894e-05,0.000260475459290894,0.000520090758644794
2020-12-29,"MA",435189,7314,36471766,2160,42,2160,435189,21600,0.0119322162792994,5.92238939019295e-05,0.000592238939019295,0.000504957278926209
2020-12-30,"MA",437332,7355,36471766,2143,41,2143,437332,21430,0.0119909740592216,5.87577799221458e-05,0.000587577799221458,0.000490146438762381
2020-12-31,"MA",439193,7388,36471766,1861,33,1861,439193,18610,0.0120419998307732,5.10257715516161e-05,0.000510257715516161,0.000475673476299472
2021-01-01,"MA",440970,7425,36471766,1777,37,1777,440970,17770,0.0120907224508953,4.87226201220966e-05,0.000487226201220966,0.000461538106339456
2021-01-02,"MA",442141,7452,36471766,1171,27,1171,442141,11710,0.0121228294785616,3.21070276662775e-05,0.000321070276662775,0.000447762276335228
2021-01-03,"MA",443146,7485,36471766,1005,33,1005,443146,10050,0.0121503850403076,2.75555617460366e-05,0.000275555617460366,0.000434362035551342
2021-01-04,"MA",443802,7538,36471766,656,53,656,443802,6560,0.0121683715562334,1.79865159257712e-05,0.000179865159257712,0.000421343589807202
2021-01-05,"MA",445439,7581,36471766,1637,43,1637,445439,16370,0.0122132555906396,4.48840344062308e-05,0.000448840344062308,0.000408715773669991
2021-01-06,"MA",447081,7618,36471766,1642,37,1642,447081,16420,0.0122582767173928,4.5021126753226e-05,0.00045021126753226,0.000396486313104341
2021-01-07,"MA",448678,7645,36471766,1597,27,1597,448678,15970,0.0123020640130231,4.37872956302692e-05,0.000437872956302692,0.000384659275566117
2021-01-08,"MA",450221,7685,36471766,1543,40,1543,450221,15430,0.0123443707113058,4.23066982827209e-05,0.000423066982827209,0.000373224654895277
2021-01-09,"MA",451637,7709,36471766,1416,24,1416,451637,14160,0.0123831952639749,3.88245526690427e-05,0.000388245526690427,0.000362181706894455
2021-01-10,"MA",452532,7743,36471766,895,34,895,452532,8950,0.012407734794087,2.45395301121421e-05,0.000245395301121421,0.000351530532563578
2021-01-11,"MA",452988,7767,36471766,456,24,456,452988,4560,0.012420237616133,1.25028220459629e-05,0.000125028220459629,0.00034125572510173
2021-01-12,"MA",453789,7784,36471766,801,17,801,453789,8010,0.0124421998101216,2.19621939886322e-05,0.000219621939886322,0.000331346307570373
2021-01-13,"MA",455055,7810,36471766,1266,26,1266,455055,12660,0.0124769115923808,3.47117822591865e-05,0.000347117822591865,0.00032178753328776
