"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active","p_cases_active_smooth","p_cases_active_smooth_slope","p_cases_active_smooth_slope2"
2020-12-02,"SZ",6455,122,1093238,13,0,13,6455,270,236,0.00590447825633577,1.18912807641154e-05,0.000246972754331628,0.000215872481563941,0.000203148159151001,3.63412643567103e-06,-3.64839862655481e-07
2020-12-03,"SZ",6474,122,1093238,19,0,19,6474,269,241,0.00592185782052947,1.73795641937071e-05,0.000246058040426696,0.000220446051088601,0.000206076104821206,3.28310605596708e-06,-4.07301074010058e-07
2020-12-04,"SZ",6480,122,1093238,6,0,6,6480,261,233,0.00592734610395906,5.48828342959173e-06,0.00023874032918724,0.000213128339849145,0.000209823073780869,3.17026722982504e-06,-3.85893457793396e-07
2020-12-05,"SZ",6495,122,1093238,15,0,15,6495,262,223,0.00594106681253304,1.37207085739793e-05,0.000239655043092172,0.000203981200799826,0.000214997671818406,3.40385505821257e-06,-2.84451992977084e-07
2020-12-06,"SZ",6501,122,1093238,6,0,6,6501,254,172,0.00594655509596264,5.48828342959173e-06,0.000232337331852716,0.000157330791648296,0.000222261590390429,4.08453921775263e-06,-9.1789231031211e-08
2020-12-07,"SZ",6529,123,1093238,28,1,28,6529,257,167,0.00597216708530073,2.56119893380947e-05,0.000235081473567512,0.000152757222123636,0.000232292060793557,5.29646789526105e-06,1.96600459624046e-07
2020-12-08,"SZ",6563,124,1093238,34,1,34,6563,234,157,0.00600326735806842,3.11002727676865e-05,0.000214043053754077,0.000143610083074317,0.000245742027256026,7.09897801750422e-06,5.77475263638865e-07
2020-12-09,"SZ",6612,125,1093238,49,1,49,6612,250,202,0.00604808833941008,4.48209813416658e-05,0.000228678476232989,0.000184772208796255,0.000263205720119976,9.521602549795e-06,1.03974941563799e-06
2020-12-10,"SZ",6633,126,1093238,21,1,21,6633,227,214,0.00606729733141365,1.9208992003571e-05,0.000207640056419554,0.000195748775655438,0.000285185441466223,1.25603946142257e-05,1.56502123073344e-06
2020-12-11,"SZ",6685,126,1093238,52,0,52,6685,275,243,0.00611486245447012,4.75651230564616e-05,0.000251546323856287,0.000222275478898465,0.000312073224166504,1.6179258724683e-05,2.12923394441174e-06
2020-12-12,"SZ",6714,127,1093238,29,1,29,6714,295,259,0.00614138915771314,2.65267032430267e-05,0.000269840601954927,0.000236910901377376,0.00034413023328789,2.03114404829101e-05,2.70448354419292e-06
2020-12-13,"SZ",6768,127,1093238,54,0,54,6768,326,294,0.00619078370857947,4.93945508663255e-05,0.000298196733007817,0.000268925888049995,0.000381480363281592,2.48647170813391e-05,3.26137486434635e-06
2020-12-14,"SZ",6825,130,1093238,57,3,57,6825,370,345,0.00624292240116059,5.21386925811214e-05,0.000338444144824823,0.000315576297201524,0.000424110023409044,2.97279993588363e-05,3.77150355688868e-06
2020-12-15,"SZ",6912,132,1093238,87,2,87,6912,438,417,0.00632250251088967,7.958010972908e-05,0.000400644690360196,0.000381435698356625,0.000471876933387367,3.47785355445652e-05,4.20948883246169e-06
2020-12-16,"SZ",7026,135,1093238,114,3,114,7026,546,525,0.00642677989605191,0.000104277385162243,0.000499433792092847,0.000480224800089276,0.000524516793543674,3.98885586795751e-05,4.55469401089157e-06
