"date","country","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","icu_patients","hosp_patients","weekly_icu_admissions","weekly_hosp_admissions","countrycode","population","cases_daily","cases_infected","cases_active","p_infected","p_daily","p_active"
2020-06-16,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-17,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-18,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-19,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-20,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-21,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-22,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-23,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-24,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-25,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-26,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-27,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-28,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-29,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-06-30,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-01,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-02,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-03,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-04,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-05,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-06,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-07,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-08,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-09,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-10,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-11,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-07-12,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
