"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active","p_cases_active_smooth","p_cases_active_smooth_slope","p_cases_active_smooth_slope2"
2020-09-17,"AG",95,3,99000,0,0,0,95,0,0,0.00095959595959596,0,0,0,4.60069292671659e-05,3.09810682540008e-06,2.35160620179156e-07
2020-09-18,"AG",95,3,99000,0,0,0,95,0,0,0.00095959595959596,0,0,0,4.97967715298064e-05,3.30984160814398e-06,2.31520859104767e-07
2020-09-19,"AG",96,3,99000,1,0,1,96,1,15,0.00096969696969697,1.01010101010101e-05,1.01010101010101e-05,0.000151515151515152,5.37230675365821e-05,3.50242403913186e-06,2.23597842071342e-07
2020-09-20,"AG",96,3,99000,0,0,0,96,1,0,0.00096969696969697,0,1.01010101010101e-05,0,5.77550567347229e-05,3.67364320399244e-06,2.12079257471538e-07
2020-09-21,"AG",96,3,99000,0,0,0,96,1,0,0.00096969696969697,0,1.01010101010101e-05,0,6.18637985351303e-05,3.82052524346703e-06,1.96789294918385e-07
2020-09-22,"AG",96,3,99000,0,0,0,96,1,0,0.00096969696969697,0,1.01010101010101e-05,0,6.60074708817768e-05,3.93761759494595e-06,1.77209759055864e-07
2020-09-23,"AG",97,3,99000,1,0,1,97,2,15,0.00097979797979798,1.01010101010101e-05,2.02020202020202e-05,0.000151515151515152,7.01534153947749e-05,4.0244143546015e-06,1.54384588200237e-07
2020-09-24,"AG",97,3,99000,0,0,0,97,2,0,0.00097979797979798,0,2.02020202020202e-05,0,7.42681872255951e-05,4.07856928263144e-06,1.28121279081243e-07
2020-09-25,"AG",98,3,99000,1,0,1,98,3,15,0.00098989898989899,1.01010101010101e-05,3.03030303030303e-05,0.000151515151515152,7.831371444268e-05,4.09844115101632e-06,9.9336185314078e-08
2020-09-26,"AG",98,3,99000,0,0,0,98,3,0,0.00098989898989899,0,3.03030303030303e-05,0,8.22587216466527e-05,4.08394415198829e-06,6.83834913326426e-08
2020-09-27,"AG",101,3,99000,3,0,3,101,6,45,0.00102020202020202,3.03030303030303e-05,6.06060606060606e-05,0.000454545454545455,8.60729629762293e-05,4.03486074018317e-06,3.57225827860229e-08
2020-09-28,"AG",101,3,99000,0,0,0,101,6,0,0.00102020202020202,0,6.06060606060606e-05,0,8.97278273572736e-05,3.95339274591613e-06,2.62919182836268e-09
2020-09-29,"AG",101,3,99000,0,0,0,101,6,0,0.00102020202020202,0,6.06060606060606e-05,0,9.32032867626419e-05,3.84164522797784e-06,-3.0461521103942e-08
