"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_infected","p_daily","p_active"
"2021/01/03","IE",4904240,1753,18,94610,2294,191594.202898551,4057.97101449274,22898.5507246377,0.0192914702379981,0.000467758511002724,0.0390670527744463,0.000827441359821856,0.0046691333875662
"2021/01/04","IE",4904240,3394,8,98004,2302,194855.072463768,3260.86956521741,24782.6086956522,0.0199835244604669,0.000469389752540659,0.0397319610100175,0.00066490823557114,0.00505330259034064
"2021/01/05","IE",4904240,4961,8,102965,2310,198768.115942029,3913.04347826086,27681.1594202899,0.0209950981191785,0.000471020994078593,0.0405298508927028,0.000797889882685363,0.00564433213307054
"2021/01/06","IE",4904240,6110,18,109075,2328,203188.405797101,4420.28985507245,30724.6376811594,0.022240958843776,0.000474691287538946,0.0414311709453659,0.000901320052663093,0.00626491315293693
"2021/01/07","IE",4904240,5325,19,114400,2347,206594.202898551,3405.79710144928,32753.6231884058,0.0233267539924637,0.00047856548619154,0.0421256306580736,0.000694459712707633,0.00667863383284786
"2021/01/08","IE",4904240,7832,14,122232,2361,211449.275362319,4855.07246376813,35869.5652173913,0.0249237394581016,0.000481420158882926,0.0431156051421462,0.000989974484072583,0.0073139905912825
"2021/01/09","IE",4904240,6503,19,128735,2380,215724.637681159,4275.36231884058,37826.0869565217,0.0262497349232501,0.00048529435753552,0.0439873737176728,0.000871768575526601,0.00771293553262518
"2021/01/10","IE",4904240,8227,19,136962,2399,219855.072463768,4130.4347826087,38768.115942029,0.0279272629398235,0.000489168556188115,0.0448295908160629,0.000842217098390108,0.0079050201340124
"2021/01/11","IE",4904240,4843,24,141805,2423,225072.463768116,5217.39130434781,41521.7391304348,0.0289147757858506,0.000494062280801918,0.0458934439929767,0.00106385317691382,0.00846649819960581
"2021/01/12","IE",4904240,6886,32,148691,2455,229492.753623188,4420.28985507248,41956.5217391304,0.0303188669396278,0.000500587246953656,0.0467947640456398,0.000901320052663099,0.00855515263101529
"2021/01/13","IE",4904240,4926,44,153617,2499,233115.942028986,3623.18840579709,41521.7391304348,0.0313233039166109,0.000509559075412296,0.0475335509740521,0.000738786928412372,0.00846649819960581
"2021/01/14","IE",4904240,3052,34,156669,2533,238333.333333333,5217.39130434784,43478.2608695652,0.0319456225633329,0.000516491851948518,0.048597404150966,0.00106385317691382,0.00886544314094849
"2021/01/15","IE",4904240,3553,55,160222,2588,242246.376811594,3913.04347826086,43478.2608695652,0.0326700977113681,0.000527706637521818,0.0493952940336513,0.000797889882685363,0.00886544314094849
"2021/01/16","IE",4904240,3913,56,164135,2644,247681.15942029,5434.78260869565,44492.7536231884,0.0334679787286103,0.00053912532828736,0.0505034744262699,0.00110818039261856,0.00907230348090396
