ISO2,ISO_3,country_agg,region_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope
ZA,ZAF,South Africa,Free State,2020-09-28,2020-09-25,111,31,4,0.036036036036036,0.0346725279840166,0.0335143590719365,0.000131589962958214,0.036036036036036,0.0346725279840166,0.0335143590719365,0.000131589962958214,0.0102080372141104,0.00223948806092362,0.0434964189611328,0.0365161624576664,0.0439269727918888,0.000150018270907375,0.0222568141732924,0.0256826936103356,0.0229335845485875,0.0001055225792803,0.00736416273819064,0.0018406595682267,0.000143000635915403,9.27127247639855e-05,5.29527607393664e-05,5.78773579210778e-05,0.000126779090846853
ZA,ZAF,South Africa,Free State,2020-09-29,2020-09-26,123,33,4,0.040650406504065,0.034899276984327,0.0347083410237752,0.000129102612684915,0.032520325203252,0.0313468496024098,0.0280921052402461,0.000116544967444962,0.00992842299699838,0.00208791317007224,0.0435525161353845,0.036436752471174,0.0437364740486433,0.000149623062061899,0.0218292434285574,0.025283788436828,0.0222843374341292,0.000103550726157786,0.0074972901908041,0.00185603146984876,0.000137198769308577,2.94557532618857e-05,-7.21584550571718e-05,-0.000132588098225686,0.00013448650882083
ZA,ZAF,South Africa,Free State,2020-09-30,2020-09-27,130,33,4,0.0461538461538462,0.0360677898293676,0.0432589098540523,0.000143652106245068,0.0307692307692308,0.0296857708537838,0.0281553306787482,0.000116803469746392,0.00836267605633803,0.00187224638684475,0.0435267271275102,0.036327936195313,0.0434642225778139,0.000149194371364753,0.0212769035380858,0.024827760821193,0.0214764953861659,0.000101339912082376,0.00761379521881618,0.00187001533507267,0.000109585219268348,-4.94199289555672e-05,-0.000205663896159337,-0.000328224076130447,0.000135269050787179
ZA,ZAF,South Africa,Free State,2020-10-01,2020-09-28,126,29,4,0.0476190476190476,0.0371842067871001,0.0381919507541691,0.000137856128761852,0.0238095238095238,0.0266198409578783,0.0183212932301472,9.64625420089388e-05,0.0083590976754838,0.00190951589067588,0.0434084752720474,0.0361904885805527,0.0431290450012366,0.000148718741134903,0.0206305528760115,0.0243422183723508,0.02055751798003,9.89966331011084e-05,0.00770876519011403,0.00188208446673597,6.16343393960347e-05,-0.000132801764602372,-0.000337454468019683,-0.000513351551183369,0.000129376400622986
ZA,ZAF,South Africa,Free State,2020-10-02,2020-09-29,129,34,4,0.062015503875969,0.0416199164667195,0.0546922508316726,0.000165008643259665,0.00775193798449612,0.0151345150788071,0.00755389424664835,6.28342017542577e-05,0.00632139292447599,0.00163586107725712,0.0431981565960458,0.0360280818816933,0.0427540661557627,0.000148180273404286,0.0199281839699211,0.0238555417368462,0.0195794002349715,9.66207303399664e-05,0.00777862605656149,0.00189177325844619,-2.87323847350413e-06,-0.000210976706310103,-0.000457026442568064,-0.000673935943362053,0.000117354432164912
ZA,ZAF,South Africa,Free State,2020-10-03,2020-09-30,120,24,4,0.0583333333333333,0.0419338235760145,0.0560005257020836,0.000175167114657522,0,0,0,0,0.00763905466698496,0.0018643719235225,0.0429087325855432,0.0358481581426971,0.0423653780993698,0.000147567320420815,0.0192101650599244,0.0233935184071935,0.0185928641152144,9.42956896277215e-05,0.00782172262707683,0.00189877629030277,-7.79254838445103e-05,-0.000276219106043969,-0.000554881525694686,-0.00079902772417448,0.00010014650658959
ZA,ZAF,South Africa,Free State,2020-10-04,2020-10-01,119,32,4,0.0672268907563025,0.0449918790824375,0.062136762719346,0.000184179013092867,0.0168067226890756,0.0230959365431803,0.0158658738544461,9.53356250087111e-05,0.0100262592504178,0.00213333577106892,0.0425649636603366,0.0356615565262949,0.041990572093472,0.000146876209754477,0.0185149533545917,0.0229769918939717,0.0176429179245307,9.20824232018473e-05,0.00783807211066303,0.00190293669842556,-0.000155242550132688,-0.000322733449736128,-0.000623643469783451,-0.000881777770676134,7.89848954120652e-05
ZA,ZAF,South Africa,Free State,2020-10-05,2020-10-03,102,46,3,0.0294117647058824,0.032788840416564,0.0356310717887057,0.00016049447863229,0.0196078431372549,0.0269068483623884,0.0204324265764743,0.000122490165742948,0.0100800883733775,0.00230065252411094,0.042202304227263,0.0354815715416316,0.0416593249441666,0.000146114523375556,0.0178761239081004,0.0226196528311428,0.0167676688102981,9.00192789558155e-05,0.00782913817024344,0.0019042200573379,-0.000225035318020254,-0.000346191517412774,-0.000658853253409485,-0.000919444770638512,5.53079965732234e-05
ZA,ZAF,South Africa,Free State,2020-10-06,2020-10-04,111,33,3,0.027027027027027,0.0301672781726452,0.0275603708318728,0.000135732565613538,0.027027027027027,0.0301672781726452,0.0275603708318728,0.000135732565613538,0.00793854033290653,0.00196816811123338,0.0418629884444141,0.0353227822526427,0.0414029998807757,0.000145306012476539,0.0173194755063161,0.0223267296856177,0.015997414890454,8.81242326700854e-05,0.00779775814907409,0.00190274656006993,-0.000277289780516026,-0.000343537116173032,-0.000659571338628276,-0.000913180082618659,3.06604883763175e-05
ZA,ZAF,South Africa,Free State,2020-10-07,2020-10-05,102,23,3,0.00980392156862745,0.0191209083686488,0.00932613352577395,8.1931639125586e-05,0.00980392156862745,0.0191209083686488,0.00932613352577395,8.1931639125586e-05,0.00613582485009064,0.00180741642612628,0.0415903919581891,0.0351992730405063,0.0412522804683865,0.000144487417699553,0.0168630252330892,0.0220969498520629,0.0153557167356437,8.64048264174376e-05,0.00774757774117961,0.00189875313878581,-0.000303013885643057,-0.000312794088808356,-0.000627921273820392,-0.000866966874064377,6.46875851092847e-06
ZA,ZAF,South Africa,Free State,2020-10-08,2020-10-05,133,31,4,0.0300751879699248,0.0290265540298046,0.0360561535990178,0.000137098454856305,0.0075187969924812,0.0146810661384107,0.00694168125339809,6.10571749171829e-05,0.00731104182345984,0.0017313285814519,0.0414278387846414,0.0351244278835462,0.0412399960051088,0.000143713892817073,0.0165183684226753,0.0219246278143904,0.0148619069095714,8.48697351560888e-05,0.00768310312293763,0.00189262879610497,-0.000295052968567391,-0.000252345025108981,-0.000568302591207621,-0.000786248887566685,-1.59204889373112e-05
ZA,ZAF,South Africa,Free State,2020-10-09,2020-10-06,111,24,4,0.0450450450450451,0.038583494373844,0.0467684141105546,0.000158862904769805,0.018018018018018,0.0247452513571082,0.0162916492610604,9.52494924541621e-05,0.00697764569065771,0.0018545546552132,0.0414144490081155,0.0351098788133444,0.0413986057636235,0.000143052581692,0.0162930955578512,0.0218028826549744,0.0145331134351999,8.3537240306947e-05,0.00760930540297686,0.0018848726622941,-0.000249047262904622,-0.000161128722624377,-0.000486178250345538,-0.000676625113335757,-3.54028706833276e-05
ZA,ZAF,South Africa,Free State,2020-10-10,2020-10-06,132,21,5,0.0378787878787879,0.0325667227467505,0.0375329368042812,0.000128107964054308,0.0151515151515152,0.0208388557396111,0.0130744959772946,7.65652281969286e-05,0.00742439130909488,0.00175807050442609,0.0415797254695728,0.0351637331933176,0.0417563564626583,0.000142573478544447,0.0161908951430262,0.0217245616127358,0.0143839438667019,8.24350131664727e-05,0.00753175220982274,0.00187611639360117,-0.000164206365127303,-3.90359384689551e-05,-0.000387343035260913,-0.000543162342971471,-5.10533168067147e-05
ZA,ZAF,South Africa,Free State,2020-10-11,2020-10-08,102,26,4,0.0686274509803922,0.0490635147054161,0.0669257766174505,0.000185957673730042,0.0196078431372549,0.0269068483623884,0.0135025567834153,8.58845979756411e-05,0.00882060036989615,0.00218588105497641,0.0419443233508187,0.0352919443094957,0.0423359692068294,0.00014234742648449,0.0162152940551506,0.0216869000177914,0.014427152091094,8.16078529497391e-05,0.00745640066183536,0.00186711444881584,-4.29968127407162e-05,0.00011277404377713,-0.000276804975491635,-0.000390086119867363,-6.21229180680131e-05
ZA,ZAF,South Africa,Free State,2020-10-12,2020-10-08,128,26,5,0.0546875,0.0393889897100669,0.0535281048113105,0.000149795345019144,0.015625,0.0214849034782183,0.0107995201737393,6.8785660519794e-05,0.008,0.00185338114171207,0.0425151876419605,0.0354960986798277,0.043148656394796,0.000142430850041903,0.0163668870227677,0.0216886476207593,0.0146690508605801,8.10982187857745e-05,0.00738964579997674,0.00185870956467508,0.000108699866257736,0.000290942752336702,-0.000158764747258071,-0.00022139400497898,-6.80187248495578e-05
ZA,ZAF,South Africa,Free State,2020-10-13,2020-10-10,109,36,4,0.036697247706422,0.0352966094275844,0.0345566314313985,0.000133843557505248,0.018348623853211,0.0251950503612202,0.0116620076721522,7.86697510023359e-05,0.00757374435290991,0.00195871129450052,0.0432828914152947,0.0357730652964607,0.0441878799899795,0.000142855996013072,0.0166418758958802,0.02173000704848,0.0151052029027116,8.09359380244586e-05,0.00733798813922149,0.0018518005719579,0.000282083242850936,0.00048926658693217,-3.68582228681575e-05,-4.17523054886884e-05,-6.82649336596858e-05
ZA,ZAF,South Africa,Free State,2020-10-14,2020-10-11,117,29,4,0.0341880341880342,0.0329259652734508,0.0346837918382099,0.000134327223700992,0.0170940170940171,0.0234873065658838,0.0117049211616447,7.89575232629997e-05,0.00741289844329133,0.0018687225652343,0.0442211860362584,0.0361146802467117,0.0454255451204059,0.000143623171250846,0.0170316569648483,0.0218116865664118,0.0157180078036503,8.11294377228342e-05,0.00730761784687473,0.00184726249503548,0.000465557875269495,0.000697591519216181,8.55480903621565e-05,0.000142683482346482,-6.25808793438157e-05
