"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"419",2021-02-22,"Galicia","ESGA",2699499,270,7,111360,2176,167525.165143095,167061.507048843,167990.110061776,0,1964.49161463717,1600.97763944766,0.0620578726434406,0.0618861155528648,0.0622301064241091,0,0.000727724520230298,0.000593064727731948
"420",2021-02-23,"Galicia","ESGA",2699499,236,7,111596,2183,167604.822763579,167141.411820759,168069.518544784,0,1600.97763944766,1370.36023930338,0.0620873809412704,0.0619157154052509,0.062259522431675,0,0.000593064727731948,0.000507635023870496
"421",2021-02-24,"Galicia","ESGA",2699499,234,10,111830,2193,167951.550626329,167487.852418398,168416.532605142,175.247174207674,1776.22481365534,1089.33931696968,0.0622158225012601,0.062044050551009,0.0623880700104509,6.49184067886945e-05,0.000657983134520642,0.000403533884239142
"422",2021-02-25,"Galicia","ESGA",2699499,229,7,112059,2200,168096.981066261,167633.344519031,168561.899929062,335.177302756347,1880.7847162674,1035.12216605482,0.0622696956236179,0.0620979465149019,0.0624419197521696,0.000124162780855391,0.000696716211514581,0.000383449731248212
"423",2021-02-26,"Galicia","ESGA",2699499,199,11,112258,2211,168535.61093759,168071.496701184,169001.006783481,438.62987132874,1863.14649105477,1161.29209585028,0.062432181281634,0.062260255218166,0.0626045821033759,0.000162485658016076,0.000690182323110609,0.000430188007422963
"424",2021-02-27,"Galicia","ESGA",2699499,165,14,112423,2225,169180.969173798,168716.006550576,169647.213182499,645.358236207947,2119.1102735915,1806.65033205823,0.0626712472106112,0.0624990068714883,0.0628439622250274,0.000239065928977172,0.000785001318241461,0.000669253936400135
"425",2021-02-28,"Galicia","ESGA",2699499,108,8,112531,2233,169313.517666693,168848.712028791,169779.602818537,132.548492895643,1939.19882495387,1939.19882495387,0.0627203483560073,0.0625481661703861,0.0628930045236308,4.91011453961061e-05,0.000718355081796241,0.000718355081796241
"426",2021-03-01,"Galicia","ESGA",2699499,161,3,112692,2236,169179.034477742,168714.785775245,169644.560643009,0,1939.19882495387,1837.37826073731,0.0626705305235311,0.0624985546485644,0.0628429796206664,0,0.000718355081796241,0.000680636762872412
"427",2021-03-02,"Galicia","ESGA",2699499,172,3,112864,2239,169094.36694665,168630.538345011,169559.471337205,0,1939.19882495387,1726.96107739635,0.0626391663588875,0.0624673461057075,0.0628114592141747,0,0.000718355081796241,0.00063973392003344
"428",2021-03-03,"Galicia","ESGA",2699499,186,2,113050,2241,168985.16431341,168521.75719989,169449.845720271,0,1837.37826073731,1726.96107739635,0.0625987134329037,0.0624270493154061,0.0627708495984887,0,0.000680636762872412,0.00063973392003344
"429",2021-03-04,"Galicia","ESGA",2699499,155,3,113205,2244,168930.836505281,168467.766181178,169395.179678962,0,1726.96107739635,1726.96107739635,0.0625785882881532,0.0624070489306269,0.062750599158941,0,0.00063973392003344,0.00063973392003344
