ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
AL,ALB,Albania,Durrës,2021-06-24,2021-06-01,2,23,106,4235773.64091642,41,48,7,3,151609.260504462,1,15512.9149597257,190,5320.89762367865,3,11,0.45424013434089,0.42596297626377,0.48251729241801,0.0503795721187026,0.0391175556048993,0.0616415886325058,0.020703933747412,0.0133723577976923,0.0280355096971317,0.0124665204797544,0.0124361020706063,0.0124969388889025,0.00966183574879227,0.0046252587106851,0.0146984127868994,0.0042491413345324,0.00423130876652714,0.00426697390253765,0.0266076514919856,0.02543374118398,0.0277815617999912,0.149122807017544,0.0837343420993537,0.214511271935734
AL,ALB,Albania,Durrës,2021-06-26,2021-06-02,7,23,106,5024837.98126565,40,49,7,3,151609.260504462,1,15512.9149597257,135,5320.89762367865,3,11,0.454090150250417,0.425896507787096,0.482283792713739,0.0522696011004127,0.0408294203508837,0.0637097818499417,0.0213204951856946,0.0138956948688834,0.0287452955025059,0.0144489539276769,0.0144167252794759,0.0144811825758778,0.00962861072902338,0.00460926922413995,0.0146479522339068,0.00412376506893317,0.00410645758380079,0.00414107255406556,0.0258122531745024,0.0246584640264928,0.026966042322512,0.166666666666667,0.0999873378283985,0.233345995504935
AL,ALB,Albania,Durrës,2021-06-27,2021-06-03,3,23,100,4864885.53145713,39,45,6,2,136096.345544736,0,0,109,5007.9036458152,3,11,0.455379482902419,0.427190965892389,0.483567999912449,0.0537560303239146,0.0421514472376883,0.0653606134101408,0.0213645761543763,0.013924592327505,0.0288045599812476,0.0160926832645773,0.0160591260101911,0.0161262405189635,0.00895933838731909,0.00411094230602792,0.0138077344686103,0.0037336256247698,0.00371736084400438,0.00374989040553521,0.0247867368088356,0.0236546907950091,0.025918782822662,0.184,0.116072274104057,0.251927725895943
AL,ALB,Albania,Durrës,2021-06-28,2021-06-04,6,23,102,4887529.42868834,40,46,7,3,156242.924608103,1,20146.5790633664,113,5112.23497176968,4,12,0.455906821963394,0.427750848778169,0.48406279514862,0.0558235699517574,0.0440108538823562,0.0676362860211586,0.0220537560303239,0.0144973870026284,0.0296101250580195,0.0179624268091547,0.0179274975144582,0.0179973561038512,0.00895933838731909,0.00411094230602792,0.0138077344686103,0.00371443569071059,0.0036984371047544,0.00373043427666678,0.0246132857285965,0.023485918581031,0.025740652876162,0.206106870229008,0.136837745619106,0.275375994838909
AL,ALB,Albania,Durrës,2021-06-29,2021-06-05,6,23,103,4888592.78396021,43,45,6,3,156242.924608103,1,20146.5790633664,110,5164.40063474692,4,13,0.458540630182421,0.430418624892078,0.486662635472764,0.0572413793103448,0.0452844574488218,0.0691983011718678,0.0227586206896552,0.0150825673709587,0.0304346740083516,0.0197481920998027,0.0197120790141677,0.0197843051854377,0.00896551724137931,0.00411379256327887,0.0138172419194798,0.00369927931521148,0.00368352186714458,0.00371503676327837,0.0243890337499896,0.0232670882996852,0.025510979200294,0.22463768115942,0.155006750923957,0.294268611394884
AL,ALB,Albania,Durrës,2021-06-30,2021-06-06,5,23,104,5071663.35972213,45,44,7,4,368965.924019103,1,20146.5790633664,110,5164.40063474692,5,15,0.461538461538462,0.43343782009654,0.489639102980383,0.0587016574585635,0.0465942087191794,0.0708091061979477,0.024171270718232,0.0162608359908004,0.0320817054456637,0.0250249499380454,0.0249849669791954,0.0250649328968954,0.00897790055248619,0.00411950495113877,0.0138362961538336,0.00367682565622635,0.0036613329172104,0.00369231839524231,0.0241998486782842,0.0230817531098794,0.0253179442466889,0.23972602739726,0.170476897823295,0.308975156971226
AL,ALB,Albania,Durrës,2021-07-04,2021-06-10,8,23,103,5079569.15501174,42,53,9,4,459806.65109683,2,123304.928889031,186,4703.77125453311,5,15,0.460591133004926,0.432598659618286,0.488583606391566,0.0614640883977901,0.0490932258949567,0.0738349509006234,0.0255524861878453,0.0174249368013058,0.0336800355743848,0.0314968686136746,0.031452784253036,0.0315409529743131,0.00966850828729282,0.00462846992918502,0.0147085466454006,0.00536280504029961,0.00534437065354016,0.00538123942705906,0.0252836933648392,0.0241378259033413,0.0264295608263371,0.254901960784314,0.185846874226262,0.323957047342366
AL,ALB,Albania,Durrës,2021-07-05,2021-06-14,13,20,101,5012917.52188307,37,60,9,4,459806.65109683,2,123304.928889031,182,4656.73354198778,5,14,0.454545454545455,0.42674123690688,0.482349672184029,0.0642265193370166,0.0515993393734628,0.0768536993005704,0.0269337016574586,0.018595295445567,0.0352721078693501,0.0376264686554115,0.0375790849486362,0.0376738523621868,0.0103591160220994,0.00514400002139993,0.015574232022799,0.00695914808578204,0.00693844800389829,0.0069798481676658,0.0264859200703909,0.0253105576762473,0.0276612824645346,0.270440251572327,0.201397891736822,0.339482611407832
AL,ALB,Albania,Durrës,2021-07-06,2021-06-15,5,20,104,5036147.94880542,37,63,8,4,459806.65109683,2,123304.928889031,188,4797.84667962377,4,13,0.447833065810594,0.420222052449357,0.475444079171831,0.0663441603317208,0.0535206010044866,0.079167719658955,0.0283344851416724,0.0197851984088138,0.0368837718745311,0.0435359814588135,0.0434857783013318,0.0435861846162952,0.0110573600552868,0.00566939087874057,0.016445329231833,0.00849167367455444,0.00846909921429641,0.00851424813481247,0.0277280206935469,0.0265222150966979,0.0289338262903959,0.282208588957055,0.213114876046803,0.351302301867308
AL,ALB,Albania,Durrës,2021-07-07,2021-06-15,4,21,108,5200847.24361593,39,65,8,4,459806.65109683,2,123304.928889031,189,4985.99752980509,4,13,0.441712926249009,0.414304166232869,0.469121686265148,0.0677263303386317,0.0547794746549744,0.0806731860222889,0.0297166551485833,0.0209675612810266,0.03846574901614,0.0492380877574724,0.0491854444304061,0.0492907310845387,0.0117484450587422,0.0061965944203879,0.0173002956970966,0.00996655784053362,0.00994238907990777,0.00999072660115948,0.0289171854576945,0.0276827359688396,0.0301516349465494,0.289156626506024,0.220188634570768,0.35812461844128
AL,ALB,Albania,Durrës,2021-07-08,2021-06-17,7,20,102,4978698.5646485,38,60,7,4,459806.65109683,2,123304.928889031,187,4703.77125453311,4,12,0.43730407523511,0.410086376603641,0.464521773866578,0.0683701657458564,0.055370900054658,0.0813694314370548,0.0310773480662983,0.0221395540684883,0.0400151420641084,0.0548555632623498,0.0548006800050682,0.0549104465196314,0.0124309392265193,0.00672404899148732,0.0181378294615514,0.0114114445722549,0.0113858434767496,0.0114370456677602,0.0300573358379702,0.028796347188975,0.0313183244869654,0.297619047619048,0.228482104357428,0.366755990880667
AL,ALB,Albania,Durrës,2021-07-09,2021-06-21,7,18,100,4634768.94535092,38,59,6,4,459806.65109683,2,123304.928889031,226,4609.69582944244,3,10,0.432348367029549,0.405272307268016,0.459424426791082,0.0686070686070686,0.0555644190301948,0.0816497181839424,0.0325710325710326,0.0234121976261228,0.0417298675159424,0.0607613873100943,0.0607041008830154,0.0608186737371732,0.0131670131670132,0.0072856176049925,0.0190484087290338,0.0129084060682852,0.0128813375201211,0.0129354746164493,0.0316024727479397,0.0303044219289651,0.0329005235669143,0.303571428571429,0.234043036269563,0.373099820873294
AL,ALB,Albania,Durrës,2021-07-10,2021-06-23,8,17,102,4600070.56999341,38,60,6,4,459806.65109683,2,123304.928889031,204,4656.73354198778,3,10,0.428132205995388,0.401244966753437,0.455019445237339,0.0685121107266436,0.0554868493313983,0.0815373721218889,0.0339100346020761,0.0245777694523129,0.0432422997518394,0.0664370602169741,0.0663776914968978,0.0664964289370505,0.013840830449827,0.00781705532978996,0.019864605569864,0.0143511762316646,0.0143228241119545,0.0143795283513747,0.0326986383279364,0.0313756813245899,0.034021595331283,0.307692307692308,0.238107787531122,0.377276827853493
AL,ALB,Albania,Durrës,2021-07-11,2021-06-26,6,16,102,4644347.35057555,37,61,5,3,336027.928300031,2,123304.928889031,153,4656.73354198778,2,8,0.422256097560976,0.395529921585696,0.448982273536255,0.0679140679140679,0.0549326307831813,0.0808955050449545,0.033957033957034,0.024612061595127,0.043302006318941,0.0685944327700894,0.0685344267146956,0.0686544388254833,0.0145530145530146,0.00837415903720111,0.020731870068828,0.0158141830779533,0.0157845659350073,0.0158438002208993,0.0331387324400239,0.0318018037446107,0.034475661135437,0.30952380952381,0.239617747999916,0.379429871047703
AL,ALB,Albania,Durrës,2021-07-12,2021-06-26,4,17,106,4748086.10560899,38,64,6,3,336027.928300031,2,123304.928889031,153,4844.8843921691,3,10,0.415849056603774,0.389310912171705,0.442387201035843,0.0672210672210672,0.0543012315022177,0.0801409029399168,0.033957033957034,0.024612061595127,0.043302006318941,0.0707681686839784,0.0707075179281544,0.0708288194398023,0.0152460152460152,0.00892397911192327,0.0215680513801072,0.0172658491660911,0.0172350409043657,0.0172966574278164,0.0328283542440867,0.0314928637303124,0.0341638447578611,0.311377245508982,0.241147034011205,0.381607457006759
AL,ALB,Albania,Durrës,2021-07-13,2021-06-28,4,16,100,3723880.41323494,37,59,5,3,336027.928300031,2,123304.928889031,157,4562.65811689711,3,9,0.411411411411411,0.384984886061861,0.437837936760962,0.0661099512874043,0.0532629727262141,0.0789569298485945,0.0340988169798191,0.0247155145985455,0.0434821193610927,0.074872025363596,0.074809180606396,0.074934870120796,0.0160055671537926,0.009516958796883,0.0224941755107022,0.0191992063701721,0.0191664390897481,0.0192319736505961,0.0335217344664736,0.0321651561890475,0.0348783127438997,0.315151515151515,0.24426509112508,0.38603793917795
AL,ALB,Albania,Durrës,2021-07-14,2021-06-29,9,16,103,3731260.11525057,36,62,4,2,315881.349236665,1,103158.349825665,147,4703.77125453311,2,10,0.404903417533432,0.378679654587398,0.431127180479467,0.0645833333333333,0.0518884233711442,0.0772782432955225,0.0340277777777778,0.0246636796111329,0.0433918759444227,0.0788676218226186,0.0788027130139454,0.0789325306312917,0.0166666666666667,0.0100545333653663,0.023278799967967,0.0210851682410526,0.0210505699831931,0.0211197664989121,0.034237605595045,0.0328640344588515,0.0356111767312385,0.310975609756098,0.240131029951642,0.381820189560553
AL,ALB,Albania,Durrës,2021-07-15,2021-07-01,8,15,100,3619861.43361198,33,62,3,1,103158.349825665,1,103158.349825665,157,4609.69582944244,1,6,0.397047970479705,0.370995955794785,0.423099985164625,0.0618915159944367,0.0494374621193216,0.0743455698695518,0.0326842837273992,0.0234941410069811,0.0418744264478173,0.0795893837390129,0.07952357134938,0.0796551961286458,0.0166898470097357,0.0100685954608582,0.0233110985586133,0.0227742487691801,0.0227379736572583,0.0228105238811019,0.035153569899935,0.0337571850938207,0.0365499547060493,0.30379746835443,0.232087517996644,0.375507418712217
AL,ALB,Albania,Durrës,2021-07-16,2021-07-02,9,15,103,3694818.16931666,31,66,2,1,103158.349825665,1,103158.349825665,112,4750.80896707844,1,7,0.385630498533724,0.359799486785921,0.411461510281527,0.0591098748261474,0.0469208735334255,0.0712988761188694,0.0312934631432545,0.0222945185668195,0.0402924077196896,0.0802467877028984,0.0801801122848338,0.0803134631209631,0.0166898470097357,0.0100685954608582,0.0233110985586133,0.0245021318594128,0.0244641888860255,0.0245400748328,0.0354026264524247,0.0339971282429359,0.0368081246619134,0.296052631578947,0.223478665928107,0.368626597229788
AL,ALB,Albania,Durrës,2021-07-17,2021-07-04,11,14,103,3660244.12953291,33,64,2,1,103158.349825665,1,103158.349825665,82,4703.77125453311,1,7,0.37463556851312,0.349023649057423,0.400247487968816,0.0556715379262352,0.0438166389844687,0.0675264368680017,0.0292275574112735,0.0205184291244826,0.0379366856980644,0.0778007931761707,0.0777343148295301,0.0778672715228113,0.0167014613778706,0.0100756412690687,0.0233272814866725,0.0263877018867195,0.0263479214418798,0.0264274823315591,0.0352253244881404,0.0338183331101523,0.0366323158661285,0.284722222222222,0.211014177005931,0.358430267438514
AL,ALB,Albania,Durrës,2021-07-18,2021-07-04,3,15,106,3708761.81918053,33,67,2,1,103158.349825665,1,103158.349825665,82,4844.8843921691,1,8,0.366739288307916,0.341285577113715,0.392192999502117,0.0506944444444445,0.0393639192656737,0.0620249696232152,0.0270833333333333,0.0186992473413849,0.0354674193252818,0.0737021032750839,0.0736365314481024,0.0737676751020654,0.0159722222222222,0.00949702208859707,0.0224474223558474,0.0266504439535612,0.0266100246667663,0.0266908632403561,0.0335764505785209,0.0322030792509446,0.0349498219060972,0.27007299270073,0.195725196068333,0.344420789333127
