ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
EE,EST,Estonia,Harju,2021-08-01,2021-02-28,100,3,74,0,0,0,0,0,0,0,0,0.0119468837623938,0.00316734955378431,31,5,8,37,0.00271689251517029,0.00408971451667501,0.010309264411435,5.83444009911958e-05,0,0,0,0,0.01152592542156,0.00310957748600902,0.177777777777778,0.194263044047826,0.00271689251517029
EE,EST,Estonia,Harju,2021-08-02,2021-03-04,100,3,72,0,0,0,0,0,0,0,0,0.0118274149247698,0.00313586562510495,31,5,10,38,0.00234412632397759,0.00355260497268794,0.00897553401214795,5.08706251395242e-05,0,0,0,0,0.0114994749076283,0.00310525931316957,0.208333333333333,0.196896471732221,0.00234412632397759
EE,EST,Estonia,Harju,2021-08-05,2021-03-07,100,1,72,0,0,0,0,0,0,0,0,0.0118274149247698,0.00313586562510495,30,5,10,39,0.0014603427026365,0.00225541624282534,0.00573382030782457,3.26289345756847e-05,0,0,0,0,0.0114086900422214,0.00309145175937899,0.204081632653061,0.204228878849794,0.0014603427026365
EE,EST,Estonia,Harju,2021-08-06,2021-03-07,101,1,73,0,0,0,0,0,0,0,0,0.0117103118067028,0.00310500141291436,31,5,10,40,0.00123412942957541,0.00191727390017264,0.00488353064665979,2.78247645075902e-05,0,0,0,0,0.0113747484829369,0.00308658025059979,0.2,0.206447658523414,0.00123412942957541
EE,EST,Estonia,Harju,2021-08-07,2021-03-09,100,1,73,0,0,0,0,0,0,0,0,0.0116083887224593,0.00310703842480643,30,5,11,40,0.00103736382672422,0.00162074320155624,0.00413583035377568,2.35926643214129e-05,0,0,0,0,0.0113390424022971,0.00308157939313862,0.215686274509804,0.208533774094314,0.00103736382672422
EE,EST,Estonia,Harju,2021-08-08,2021-03-10,100,1,73,0,0,0,0,0,0,0,0,0.0113893625201487,0.00307792813456607,30,5,11,41,0.000867222520322206,0.00136232984927486,0.00348254407933712,1.98886814643041e-05,0,0,0,0,0.0113015823758043,0.00307644526483159,0.211538461538462,0.210475316026735,0.000867222520322206
EE,EST,Estonia,Harju,2021-08-09,2021-03-13,100,1,73,0,0,0,0,0,0,0,0,0.0113893625201487,0.00307792813456607,31,5,12,41,0.000720972190559198,0.00113854212690169,0.00291539379430979,1.66678910681055e-05,0,0,0,0,0.0112623549006507,0.00307116799442119,0.226415094339623,0.212260970875523,0.000720972190559198
EE,EST,Estonia,Harju,2021-08-10,2021-03-15,101,2,73,0,0,0,0,0,0,0,0,0.0112765965546027,0.00304762739766529,30,4,12,43,0.000596018063987622,0.000945977511863896,0.00242622772885979,1.38857271365771e-05,0,0,0,0,0.0112214143230329,0.00306574627503271,0.218181818181818,0.213880208121969,0.000596018063987622
EE,EST,Estonia,Harju,2021-08-11,2021-03-16,100,1,73,0,0,0,0,0,0,0,0,0.0109513101155276,0.0030188254470366,29,3,13,43,0.000489437454925884,0.000780806856762283,0.00200586464596193,1.14919271664425e-05,0,0,0,0,0.0111785543672583,0.00306013786533947,0.232142857142857,0.215323700505106,0.000489437454925884
EE,EST,Estonia,Harju,2021-08-12,2021-03-18,100,2,72,0,0,0,0,0,0,0,0,0.0107322839132171,0.00298881560646829,29,3,14,44,0.000399534340751998,0.000640548342656389,0.00164813410533221,9.45192154089393e-06,0,0,0,0,0.0111337345670445,0.00305432478114673,0.241379310344828,0.216580833804362,0.000399534340751998
EE,EST,Estonia,Harju,2021-08-13,2021-03-22,100,1,72,0,0,0,0,0,0,0,0,0.0108406908214314,0.00301884024274284,29,3,14,44,0.000324163126734129,0.000522211550891363,0.0013456861124365,7.72487853733002e-06,0,0,0,0,0.011086889413638,0.00304828505304414,0.241379310344828,0.217644263972309,0.000324163126734129
EE,EST,Estonia,Harju,2021-08-17,2021-03-24,100,2,71,0,0,0,0,0,0,0,0,0.0109513101155276,0.00304947420688299,29,3,15,44,0.000132607547453367,0.000217078514456864,0.000562221656402175,3.23791816217625e-06,0,0,0,0,0.0108770744433913,0.00302124255091305,0.254237288135593,0.219874904701262,0.000132607547453367
EE,EST,Estonia,Harju,2021-08-19,2021-03-25,100,1,71,0,0,0,0,0,0,0,0,0.0109513101155276,0.00304947420688299,29,3,15,45,8.12085699797567e-05,0.000134089115101146,0.000348209033264063,2.0087230843151e-06,0,0,0,0,0.0107567609124154,0.00300548786912178,0.25,0.219789005364339,8.12085699797567e-05
EE,EST,Estonia,Harju,2021-08-20,2021-03-26,100,1,71,0,0,0,0,0,0,0,0,0.0109513101155276,0.00304947420688299,29,3,15,46,6.2684017349171e-05,0.000104058076384713,0.000270663014958873,1.56291632546721e-06,0,0,0,0,0.0106921018924055,0.00299690152398667,0.245901639344262,0.219464015774127,6.2684017349171e-05
EE,EST,Estonia,Harju,2021-08-21,2021-03-26,101,1,72,0,0,0,0,0,0,0,0,0.0108406908214314,0.00301884024274284,29,3,15,47,4.81384445957489e-05,8.02167833843296e-05,0.000208874150125942,1.20707446847332e-06,0,0,0,0,0.010624367089604,0.00298781636761933,0.241935483870968,0.218964323892274,4.81384445957489e-05
EE,EST,Estonia,Harju,2021-08-22,2021-03-27,100,2,72,0,0,0,0,0,0,0,0,0.0109513101155276,0.00304947420688299,31,3,15,49,3.69602918917351e-05,6.17481495124957e-05,0.000160914373890174,9.30401708308632e-07,0,0,0,0,0.0105533553955017,0.00297818875882533,0.234375,0.218301486609031,3.69602918917351e-05
EE,EST,Estonia,Harju,2021-08-23,2021-03-28,100,1,72,0,0,0,0,0,0,0,0,0.0105043178659142,0.00298726650274388,30,3,15,50,2.78927084445072e-05,4.6803600267406e-05,0.000122129541286967,7.06774740912446e-07,0,0,0,0,0.0104787549587249,0.00296795949638199,0.230769230769231,0.217492858639587,2.78927084445072e-05
EE,EST,Estonia,Harju,2021-08-25,2021-03-29,101,2,72,0,0,0,0,0,0,0,0,0.0106194522332389,0.0029882110806658,29,3,15,52,1.56223653448322e-05,2.64240292884154e-05,6.91242061699079e-05,4.00662972361002e-07,0,0,0,0,0.0103185011853012,0.00294561650601979,0.223880597014925,0.215498063791158,1.56223653448322e-05
EE,EST,Estonia,Harju,2021-08-27,2021-04-02,101,5,71,0,0,0,0,0,0,0,0,0.0108406908214314,0.00301884024274284,27,3,15,57,8.39976836975213e-06,1.43580816221451e-05,3.76821341043577e-05,2.18867001759042e-07,0,0,0,0,0.0101423756786834,0.00292053764191803,0.208333333333333,0.213111888192384,8.39976836975213e-06
EE,EST,Estonia,Harju,2021-08-29,2021-04-05,100,2,70,0,0,0,0,0,0,0,0,0.0109513101155276,0.00304947420688299,24,3,15,59,4.35665370808977e-06,7.54042086986787e-06,1.98668801128304e-05,1.15667616456894e-07,0,0,0,0,0.00994857693069789,0.00289238928724958,0.202702702702703,0.210463778171431,4.35665370808977e-06
EE,EST,Estonia,Harju,2021-08-30,2021-04-06,100,1,70,0,0,0,0,0,0,0,0,0.0109513101155276,0.00304947420688299,25,3,15,60,3.18558502758631e-06,5.51907416691817e-06,1.45454960833802e-05,8.47019474776035e-08,0,0,0,0,0.00984470470929664,0.00287709652288633,0.2,0.209079378479125,3.18558502758631e-06
EE,EST,Estonia,Harju,2021-08-31,2021-04-08,100,1,70,0,0,0,0,0,0,0,0,0.0109513101155276,0.00304947420688299,25,3,15,61,2.31254365239905e-06,4.01051546589172e-06,1.05728048273464e-05,6.1579680598671e-08,0,0,0,0,0.00973576888678167,0.00286091660593827,0.197368421052632,0.20767258381456,2.31254365239905e-06
EE,EST,Estonia,Harju,2021-09-01,2021-04-08,101,1,71,0,0,0,0,0,0,0,0,0.0108406908214314,0.00301884024274284,25,3,15,62,1.66666841678076e-06,2.89328624280485e-06,7.62972027278727e-06,4.44465240577429e-08,0,0,0,0,0.00962178387611253,0.00284384753926552,0.194805194805195,0.2062552079076,1.66666841678076e-06
EE,EST,Estonia,Harju,2021-09-02,2021-04-10,100,1,71,0,0,0,0,0,0,0,0,0.00871634886746076,0.00272363786732001,24,3,15,63,1.19238874463997e-06,2.07200446411307e-06,5.46555877116952e-06,3.18452991438832e-08,0,0,0,0,0.00950242082546673,0.00282582796864615,0.192307692307692,0.204837851431228,1.19238874463997e-06
EE,EST,Estonia,Harju,2021-09-04,2021-04-10,101,1,72,0,0,0,0,0,0,0,0,0.00862830493950661,0.00269624610345977,24,3,15,64,2.23474964536207e-07,4.35829156946802e-07,1.18770304482836e-06,7.05881095671548e-09,0,0,0,0,0.00924754776581875,0.00278690770303484,0.189873417721519,0.202040615807604,2.23474964536207e-07
EE,EST,Estonia,Harju,2021-09-05,2021-04-11,100,1,72,0,0,0,0,0,0,0,0,0.00871634886746076,0.00272363786732001,24,3,15,65,0,0,0,0,0,0,0,0,0.0091120037363643,0.00276598213165329,0.1875,0.200676399910579,0
EE,EST,Estonia,Harju,2021-09-06,2021-04-16,100,2,71,0,0,0,0,0,0,0,0,0.0080458604930407,0.00261767144663549,24,3,16,66,0,0,0,0,0,0,0,0,0.00897131667078953,0.00274410764937764,0.195121951219512,0.199343941653218,0
EE,EST,Estonia,Harju,2021-09-07,2021-04-20,100,1,71,0,0,0,0,0,0,0,0,0.0080458604930407,0.00261767144663549,24,3,16,67,0,0,0,0,0,0,0,0,0.00882571551422209,0.00272131351330498,0.192771084337349,0.198051129651834,0
EE,EST,Estonia,Harju,2021-09-08,2021-04-23,100,1,71,0,0,0,0,0,0,0,0,0.0080458604930407,0.00261767144663549,24,3,16,68,0,0,0,0,0,0,0,0,0.00867577312368299,0.00269767897049466,0.19047619047619,0.196802320697076,0
EE,EST,Estonia,Harju,2021-09-11,2021-04-26,100,1,71,0,0,0,0,0,0,0,0,0.00715187599381395,0.00246907616611403,24,3,16,69,0,0,0,0,0,0,0,0,0.00820581035369407,0.00262260230732601,0.188235294117647,0.193385462482762,0
EE,EST,Estonia,Harju,2021-09-18,2021-04-28,100,1,71,0,0,0,0,0,0,0,0,0.00715187599381395,0.00246907616611403,24,3,16,70,0,0,0,0,0,0,0,0,0.00711658373747807,0.00244289046383064,0.186046511627907,0.187963529205874,0
EE,EST,Estonia,Harju,2021-09-19,2021-05-04,100,1,71,0,0,0,0,0,0,0,0,0.00715187599381395,0.00246907616611403,24,3,16,71,0,0,0,0,0,0,0,0,0.00697586135212663,0.00241905876247052,0.183908045977012,0.187534094438586,0
EE,EST,Estonia,Harju,2021-09-20,2021-05-04,101,1,72,0,0,0,0,0,0,0,0,0.00707963482215927,0.0024442249207685,24,3,16,72,0,0,0,0,0,0,0,0,0.00684086141145609,0.00239605282271752,0.181818181818182,0.187197828925737,0
EE,EST,Estonia,Harju,2021-09-21,2021-05-07,100,1,72,0,0,0,0,0,0,0,0,0.00715187599381395,0.00246907616611403,23,2,16,73,0,0,0,0,0,0,0,0,0.00671187718297528,0.002373934897135,0.179775280898876,0.186953461432618,0
EE,EST,Estonia,Harju,2021-09-22,2021-05-10,100,1,72,0,0,0,0,0,0,0,0,0.00715187599381395,0.00246907616611403,23,2,17,73,0,0,0,0,0,0,0,0,0.00658901756281147,0.00235274103813801,0.188888888888889,0.186802363436618,0
EE,EST,Estonia,Harju,2021-09-24,2021-05-12,101,2,72,0,0,0,0,0,0,0,0,0.00707963482215927,0.0024442249207685,24,2,17,75,0,0,0,0,0,0,0,0,0.0063615504148241,0.00231317743942601,0.184782608695652,0.186781696976945,0
EE,EST,Estonia,Harju,2021-09-25,2021-05-18,100,1,72,0,0,0,0,0,0,0,0,0.00514041087055378,0.0020953805170578,24,2,17,76,0,0,0,0,0,0,0,0,0.00625670185720634,0.00229480034162028,0.182795698924731,0.186911390530375,0
EE,EST,Estonia,Harju,2021-09-26,2021-05-19,100,1,72,0,0,0,0,0,0,0,0,0.00514041087055378,0.0020953805170578,23,2,17,77,0,0,0,0,0,0,0,0,0.00615757582838314,0.00227734860749003,0.180851063829787,0.187133260315783,0
EE,EST,Estonia,Harju,2021-09-28,2021-05-20,100,1,72,0,0,0,0,0,0,0,0,0.00514041087055378,0.0020953805170578,23,2,17,78,0,0,0,0,0,0,0,0,0.00597580368355264,0.00224517330958846,0.178947368421053,0.187856256020474,0
EE,EST,Estonia,Harju,2021-09-29,2021-05-20,101,1,73,0,0,0,0,0,0,0,0,0.00508848752842697,0.00207426918491419,23,2,17,79,0,0,0,0,0,0,0,0,0.00589288405356989,0.00223043597658077,0.177083333333333,0.188355496358021,0
EE,EST,Estonia,Harju,2021-09-30,2021-05-21,101,2,73,0,0,0,0,0,0,0,0,0.00508848752842697,0.00207426918491419,22,2,17,79,0,0,0,0,0,0,0,0,0.00581518144208787,0.0022166035481889,0.177083333333333,0.188942863563753,0
