ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
GE,GEO,Georgia,Tbilisi,2022-03-21,2021-12-23,4,56,100,23441625.7083437,47,49,7,5,9,6,4,308969.664733722,4,308969.664733722,78,1479.7311222979,7,36,0.434944237918216,0.408450124344521,0.461438351491911,0.0612535612535613,0.0487104764054248,0.0737966461016977,0.0413105413105413,0.0309009433610128,0.0517201392600698,0.0769230769230769,0.062984712733093,0.0908614411130609,0.0648148148148148,0.0519367534994682,0.0776928761301614,0.0405982905982906,0.0302749880620173,0.0509215931345639,0.0162152353049654,0.0161988544273765,0.0162316161825543,0.0391737891737892,0.0290256889219579,0.0493218894256205,0.0161020904694431,0.0160857659035545,0.0161184150353318,0.0448638438018687,0.0420244248496493,0.0477032627540881,0.16195856873823,0.130623147264247,0.193293990212212
GE,GEO,Georgia,Tbilisi,2022-03-23,2021-12-27,2,56,101,23476740.5547865,48,49,7,5,9,6,4,308969.664733722,4,308969.664733722,78,1510.24104234528,7,36,0.443536404160476,0.416995936227888,0.470076872093063,0.0640569395017794,0.051253762906525,0.0768601160970337,0.0434163701067616,0.0327602733178796,0.0540724668956435,0.0797153024911032,0.0655527387193656,0.0938778662628408,0.0647686832740214,0.0518994704390966,0.0776378961089461,0.0405693950177936,0.0302532846792935,0.0508855053562937,0.0158412490245767,0.0158256024977474,0.015856895551406,0.0398576512455516,0.0296286414853841,0.0500866610057191,0.0157884367252083,0.015772815882607,0.0158040575678095,0.0465254916459792,0.0436441688211721,0.0494068144707863,0.170132325141777,0.138112563268259,0.202152087015294
GE,GEO,Georgia,Tbilisi,2022-03-24,2021-12-28,2,56,101,23460330.1748771,48,49,7,5,9,6,4,308969.664733722,4,308969.664733722,58,1510.24104234528,7,37,0.452858203414996,0.426275731796033,0.47944067503396,0.0668563300142248,0.0538006061988359,0.0799120538296136,0.0455192034139403,0.0346239746131144,0.0564144322147661,0.0825035561877667,0.0681223948091474,0.096884717566386,0.0647226173541963,0.0518622408719279,0.0775829938364647,0.0405405405405405,0.0302316123922464,0.0508494686888347,0.0155419861963421,0.0155269630063619,0.0155570093863223,0.0405405405405405,0.0302316123922464,0.0508494686888347,0.0155419861963421,0.0155269630063619,0.0155570093863223,0.0472003704874903,0.0443069282962451,0.0500938126787355,0.178030303030303,0.14540113512249,0.210659470938116
GE,GEO,Georgia,Tbilisi,2022-03-25,2021-12-28,2,57,103,23612404.0123238,50,49,7,5,9,6,4,308969.664733722,4,308969.664733722,58,1540.75096239266,7,38,0.463703703703704,0.437102340801095,0.490305066606313,0.0695528743789922,0.0562698801167181,0.0828358686412664,0.0475514549325763,0.0364393774596389,0.0586635324055137,0.0858765081618169,0.0712469160394845,0.100506100284149,0.0652945351312988,0.0523951680284523,0.0781939022341453,0.0411639460610362,0.0307904947554245,0.0515373973666479,0.0153150889903114,0.015300610752424,0.0153295672281988,0.0411639460610362,0.0307904947554245,0.0515373973666479,0.0153150889903114,0.015300610752424,0.0153295672281988,0.047797855287148,0.0448968637993244,0.0506988467749716,0.18595825426945,0.152740225863679,0.21917628267522
GE,GEO,Georgia,Tbilisi,2022-03-26,2021-12-30,4,56,100,23132744.0194808,50,46,6,4,8,5,4,308969.664733722,4,308969.664733722,59,1494.98608232159,6,36,0.476296296296296,0.449654553475338,0.502938039117255,0.0716820440028389,0.0582127088254916,0.0851513791801862,0.0489709013484741,0.0377025975846777,0.0602392051122705,0.0887154009936125,0.0738690706507926,0.103561731336432,0.0652945351312988,0.0523951680284523,0.0781939022341453,0.0418736692689851,0.0314150466765502,0.05233229186142,0.0151365200255045,0.0151225122965172,0.0151505277544918,0.0418736692689851,0.0314150466765502,0.05233229186142,0.0151365200255045,0.0151225122965172,0.0151505277544918,0.048541397347057,0.0456256452878916,0.0514571494062225,0.193116634799235,0.159285819034103,0.226947450564368
GE,GEO,Georgia,Tbilisi,2022-03-27,2021-12-30,2,57,102,23308725.8962833,51,47,6,4,8,5,4,308969.664733722,4,308969.664733722,59,1525.49600236897,6,36,0.482631189948263,0.456005123790157,0.509257256106369,0.0701630049610206,0.0568357076821304,0.0834903022399108,0.0481927710843374,0.0370177067229477,0.059367835445727,0.0878809355067328,0.0731083100669237,0.102653560946542,0.0637845499645641,0.0510339613489653,0.076535138580163,0.0411055988660524,0.0307465360766018,0.0514646616555031,0.0147187993268136,0.01470512771738,0.0147324709362472,0.0411055988660524,0.0307465360766018,0.0514646616555031,0.0147187993268136,0.01470512771738,0.0147324709362472,0.0477309746899658,0.0448426535497552,0.0506192958301763,0.190751445086705,0.156949686417176,0.224553203756234
GE,GEO,Georgia,Tbilisi,2022-03-28,2022-01-02,2,56,100,23319264.6650352,52,44,6,4,8,5,4,308969.664733722,4,308969.664733722,64,1494.98608232159,6,35,0.489283074648928,0.462647049606579,0.515919099691278,0.0687943262411348,0.0555832666294063,0.0820053858528632,0.0475177304964539,0.0364133373417651,0.0586221236511427,0.0872340425531915,0.0725054498966179,0.101962635209765,0.0624113475177305,0.0497850364185729,0.0750376586168881,0.0404255319148936,0.0301452328680333,0.0507058309617539,0.0143470308971123,0.0143336552340317,0.0143604065601929,0.0404255319148936,0.0301452328680333,0.0507058309617539,0.0143470308971123,0.0143336552340317,0.0143604065601929,0.0472665150962227,0.0443926274082888,0.0501404027841566,0.188349514563107,0.154581054543259,0.222117974582954
GE,GEO,Georgia,Tbilisi,2022-03-29,2022-01-06,5,53,100,23394298.9578612,51,44,6,4,8,5,4,308969.664733722,4,308969.664733722,64,1479.7311222979,6,34,0.495934959349594,0.469293694284518,0.522576224414669,0.0673758865248227,0.0542917791022189,0.0804599939474265,0.0468085106382979,0.0357831951866548,0.0578338260899409,0.0865248226950355,0.0718505269057458,0.101199118484325,0.0609929078014184,0.0485014639489035,0.0734843516539333,0.0397163120567376,0.0295228251899186,0.0499097989235566,0.0139916654874769,0.0139785725872365,0.0140047583877173,0.0397163120567376,0.0295228251899186,0.0499097989235566,0.0139916654874769,0.0139785725872365,0.0140047583877173,0.0468027315717573,0.0439433232112662,0.0496621399322485,0.186274509803922,0.152485250018715,0.220063769589128
GE,GEO,Georgia,Tbilisi,2022-03-30,2022-01-07,1,53,100,23333847.5863609,52,44,6,4,8,5,4,308969.664733722,4,308969.664733722,64,1479.7311222979,6,33,0.501847745750185,0.475205782093282,0.528489709407088,0.0659574468085106,0.0530019585875849,0.0789129350294363,0.0460992907801418,0.0351537495173144,0.0570448320429693,0.0858156028368794,0.0711958993024868,0.100435306371272,0.0595744680851064,0.0472198072608234,0.0719291289093894,0.0397163120567376,0.0295228251899186,0.0499097989235566,0.0137636681821813,0.0137507871446664,0.0137765492196962,0.0397163120567376,0.0295228251899186,0.0499097989235566,0.0137636681821813,0.0137507871446664,0.0137765492196962,0.0461825118873202,0.0433411889093829,0.0490238348652574,0.184158415841584,0.150351846116725,0.217964985566443
GE,GEO,Georgia,Tbilisi,2022-03-31,2022-01-09,3,52,101,23647382.6865392,52,45,5,3,7,4,4,308969.664733722,4,308969.664733722,62,1494.98608232159,5,32,0.506646971935007,0.480017019937719,0.533276923932296,0.0644932671863926,0.0516768914187824,0.0773096429540029,0.0446491849751949,0.0338728076052909,0.0554255623450989,0.0843373493975904,0.0698375395153798,0.0988371592798009,0.0574060949681077,0.0452686883856128,0.0695435015506027,0.0396881644223955,0.0295017525675659,0.049874576277225,0.0135488485490799,0.0135361671744482,0.0135615299237117,0.0396881644223955,0.0295017525675659,0.049874576277225,0.0135488485490799,0.0135361671744482,0.0135615299237117,0.045433806972591,0.0426155292097131,0.0482520847354688,0.182,0.148179857380855,0.215820142619145
GE,GEO,Georgia,Tbilisi,2022-04-01,2022-01-16,4,50,101,25424954.4936633,54,43,5,3,7,4,4,308969.664733722,4,308969.664733722,52,1494.98608232159,5,32,0.513293943870015,0.486671053481761,0.539916834258268,0.0630758327427357,0.0503914802819797,0.0757601852034916,0.0432317505315379,0.032619942813195,0.0538435582498808,0.0829199149539334,0.0685313447729896,0.0973084851348772,0.0552799433026223,0.0433559987889172,0.0672038878163273,0.0396881644223955,0.0295017525675659,0.049874576277225,0.0132708676891612,0.0132584447474666,0.0132832906308558,0.0396881644223955,0.0295017525675659,0.049874576277225,0.0132708676891612,0.0132584447474666,0.0132832906308558,0.0442419442503299,0.0414591423536873,0.0470247461469726,0.17979797979798,0.145968266849645,0.213627692746314
GE,GEO,Georgia,Tbilisi,2022-04-02,2022-01-22,1,50,100,24899165.574409,53,43,5,3,7,4,4,308969.664733722,4,308969.664733722,52,1479.7311222979,5,31,0.518847006651885,0.492223794895832,0.545470218407938,0.0617021276595745,0.0491430145889878,0.0742612407301612,0.0418439716312057,0.0313926045325125,0.0522953387298988,0.0815602836879433,0.0672745277439052,0.0958460396319814,0.0531914893617021,0.0414778813491538,0.0649050973742505,0.0397163120567376,0.0295228251899186,0.0499097989235566,0.013142487281585,0.0131301837172755,0.0131547908458945,0.0397163120567376,0.0295228251899186,0.0499097989235566,0.013142487281585,0.0131301837172755,0.0131547908458945,0.0430814134651344,0.0403326861727702,0.0458301407574987,0.177914110429448,0.144017407659062,0.211810813199834
GE,GEO,Georgia,Tbilisi,2022-04-05,2022-01-22,1,51,101,26806099.9435305,54,43,5,3,7,4,4,308969.664733722,4,308969.664733722,52,1494.98608232159,5,31,0.524372230428361,0.497771583271883,0.550972877584838,0.0602409638554217,0.04782619050532,0.0726557372055234,0.040396881644224,0.0301237150614414,0.0506700482270065,0.0800850460666194,0.0659227347002906,0.0942473574329483,0.0510276399716513,0.0395457307979306,0.062509549145372,0.0396881644223955,0.0295017525675659,0.049874576277225,0.0129641471479312,0.0129520094432037,0.0129762848526587,0.0396881644223955,0.0295017525675659,0.049874576277225,0.0129641471479312,0.0129520094432037,0.0129762848526587,0.0418582188058078,0.0391480492261166,0.0445683883854991,0.175619834710744,0.141721687666313,0.209517981755175
GE,GEO,Georgia,Tbilisi,2022-04-06,2022-01-23,4,51,102,27101329.9644943,57,41,5,3,7,4,4,308969.664733722,4,308969.664733722,53,1510.24104234528,5,29,0.530627306273063,0.504054822456897,0.557199790089229,0.0587818696883853,0.0465131969327617,0.0710505424440089,0.0389518413597734,0.0288600720451577,0.0490436106743891,0.0786118980169972,0.0645741906873584,0.0926496053466359,0.0488668555240793,0.0376218778466162,0.0601118332015424,0.0396600566572238,0.0294807100066079,0.0498394033078397,0.0127839850651302,0.0127720149451639,0.0127959551850964,0.0396600566572238,0.0294807100066079,0.0498394033078397,0.0127839850651302,0.0127720149451639,0.0127959551850964,0.0406368020456954,0.037965736003671,0.0433078680877197,0.17436974789916,0.14028398777841,0.208455508019909
GE,GEO,Georgia,Tbilisi,2022-04-07,2022-01-25,3,50,101,27404945.3342558,57,40,4,3,6,4,4,308969.664733722,4,308969.664733722,41,1494.98608232159,4,27,0.537610619469027,0.511073358746979,0.564147880191074,0.0566171266808209,0.0445669083294215,0.0686673450322203,0.0375088464260439,0.0276018447324966,0.0474158481195911,0.0764331210191083,0.062579861126646,0.0902863809115706,0.0474168435951876,0.0363354398223656,0.0584982473680095,0.0396319886765747,0.0294596974427621,0.0498042799103872,0.0126359753424367,0.0126241429225742,0.0126478077622993,0.0396319886765747,0.0294596974427621,0.0498042799103872,0.0126359753424367,0.0126241429225742,0.0126478077622993,0.0388458961329525,0.0362328644922414,0.0414589277736636,0.171306209850107,0.137133985719318,0.205478433980896
GE,GEO,Georgia,Tbilisi,2022-04-08,2022-01-29,2,50,100,27196937.0010124,58,38,3,2,5,3,4,308969.664733722,4,308969.664733722,39,1479.7311222979,3,27,0.545387453874539,0.518874890265661,0.571900017483416,0.0538243626062323,0.0420535601513538,0.0655951650611108,0.0354107648725213,0.0257709298386209,0.0450505999064216,0.0736543909348442,0.0600300159704991,0.0872787658991893,0.0453257790368272,0.0344757480364799,0.0561758100371745,0.0396600566572238,0.0294807100066079,0.0498394033078397,0.0125001298320425,0.0124884238137135,0.0125118358503716,0.0396600566572238,0.0294807100066079,0.0498394033078397,0.0125001298320425,0.0124884238137135,0.0125118358503716,0.0370430934078732,0.0344871675330821,0.0395990192826644,0.165938864628821,0.131867592314631,0.200010136943011
GE,GEO,Georgia,Tbilisi,2022-04-09,2022-01-29,1,51,101,29088252.082827,59,38,3,2,5,3,4,308969.664733722,4,308969.664733722,39,1494.98608232159,3,27,0.553505535055351,0.527035929643559,0.579975140467142,0.0509915014164306,0.0395175054375837,0.0624654973952775,0.03328611898017,0.023929664682162,0.042642573278178,0.0708215297450425,0.0574413187034845,0.0842017407866005,0.0432011331444759,0.0325966711989233,0.0538055950900285,0.0396600566572238,0.0294807100066079,0.0498394033078397,0.0123000852332009,0.0122885653843353,0.0123116050820665,0.0396600566572238,0.0294807100066079,0.0498394033078397,0.0123000852332009,0.0122885653843353,0.0123116050820665,0.0361635785233354,0.0336361053543672,0.0386910516923037,0.160714285714286,0.126705490994321,0.194723080434251
GE,GEO,Georgia,Tbilisi,2022-04-10,2022-01-30,3,51,102,29358060.7318825,59,39,3,2,5,3,4,308969.664733722,4,308969.664733722,39,1510.24104234528,3,27,0.56056129985229,0.534125073282237,0.586997526422342,0.0481927710843374,0.0370177067229477,0.059367835445727,0.0311835577604536,0.0221143747471164,0.0402527407737908,0.0680368532955351,0.05489804235884,0.0811756642322302,0.0411055988660524,0.0307465360766018,0.0514646616555031,0.0396881644223955,0.0295017525675659,0.049874576277225,0.0121023546738413,0.0120910188783083,0.0121136904693743,0.0396881644223955,0.0295017525675659,0.049874576277225,0.0121023546738413,0.0120910188783083,0.0121136904693743,0.0353084987946794,0.0328081571683497,0.037808840421009,0.155606407322654,0.121620914265126,0.189591900380183
