ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
HR,HRV,Croatia,Medimurska,2021-02-22,2021-02-09,100,6,14,0.01,0.0195013954179879,0.0209138181104269,0.00026557112912723,0.01,0.0195013954179879,0.0209138181104269,0.00026557112912723,0.00326681128775143,0.00213078849672925,5,1,0,0,0.00857728756088326,,,0.00857728756088326
HR,HRV,Croatia,Medimurska,2021-02-23,2021-02-09,106,6,15,0.00943396226415094,0.0184028015418055,0.0193218119393828,0.000245554660699506,0.00943396226415094,0.0184028015418055,0.0193218119393828,0.000245554660699506,0.00306263558226697,0.00199781880574413,5,1,0,0,0.00856843230454131,,,0.00856843230454131
HR,HRV,Croatia,Medimurska,2021-02-24,2021-02-10,107,9,15,0.00934579439252336,0.0182316240644272,0.0186751085712913,0.000237414158789951,0.00934579439252336,0.0182316240644272,0.0186751085712913,0.000237414158789951,0.00766700608349826,0.00312132288505796,5,1,0,0,0.00857817014200282,,,0.00857817014200282
HR,HRV,Croatia,Medimurska,2021-02-25,2021-02-11,102,7,15,0,0,0,0,0,0,0,0,0.00790912206508242,0.00321949814703054,6,1,0,0,0.00860528520408228,,,0.00860528520408228
HR,HRV,Croatia,Medimurska,2021-02-26,2021-02-12,100,5,15,0,0,0,0,0,0,0,0,0.00903586100867418,0.003457482003096,6,1,0,0,0.00864877875267528,,,0.00864877875267528
HR,HRV,Croatia,Medimurska,2021-02-27,2021-02-12,104,4,16,0,0,0,0,0,0,0,0,0.00866705035525891,0.0033169773620854,6,1,0,0,0.00870769516434492,,,0.00870769516434492
HR,HRV,Croatia,Medimurska,2021-02-28,2021-02-12,111,7,17,0.00900900900900901,0.0175776157070447,0.00457446009836188,0.000112672691234683,0.00900900900900901,0.0175776157070447,0.00457446009836188,0.000112672691234683,0.0083271660276017,0.00318744609532044,6,1,0,0,0.00878127026753769,,,0.00878127026753769
HR,HRV,Croatia,Medimurska,2021-03-01,2021-02-13,100,1,17,0.01,0.0195013954179879,0.00490097275200193,0.000120695165103567,0.01,0.0195013954179879,0.00490097275200193,0.000120695165103567,0.00923229276973231,0.00353229451249409,6,1,0,0,0.00886810843211931,,,0.00886810843211931
HR,HRV,Croatia,Medimurska,2021-03-02,2021-02-13,104,4,18,0.00961538461538462,0.0187549838461375,0.00458192594313413,0.000112856157872099,0.00961538461538462,0.0187549838461375,0.00458192594313413,0.000112856157872099,0.0088476139043268,0.00338577266898518,6,1,0,0,0.0089674058257253,,,0.0089674058257253
HR,HRV,Croatia,Medimurska,2021-03-03,2021-02-15,101,7,17,0.0099009900990099,0.0193092777830645,0.00478313738508097,0.000117800233830563,0.0099009900990099,0.0193092777830645,0.00478313738508097,0.000117800233830563,0.00894074668226708,0.0034212516324843,4,0,0,0,0.00907812513537426,,,0.00907812513537426
HR,HRV,Croatia,Medimurska,2021-03-04,2021-02-15,108,7,18,0.00925925925925926,0.0180636016201853,0.00452886367486897,0.000111552168844429,0.00925925925925926,0.0180636016201853,0.00452886367486897,0.000111552168844429,0.0083271660276017,0.00318744609532044,5,0,0,0,0.00919947217124274,,,0.00919947217124274
HR,HRV,Croatia,Medimurska,2021-03-05,2021-02-16,101,3,18,0.0099009900990099,0.0193092777830645,0.00467652293467419,0.00011518067701695,0.0099009900990099,0.0193092777830645,0.00467652293467419,0.00011518067701695,0.00894074668226708,0.0034212516324843,5,0,0,0,0.0093302992028566,,,0.0093302992028566
HR,HRV,Croatia,Medimurska,2021-03-06,2021-02-17,102,4,18,0.00980392156862745,0.0191209083686488,0.00467588800274224,0.000115165075659013,0.00980392156862745,0.0191209083686488,0.00467588800274224,0.000115165075659013,0.00894074668226708,0.0034212516324843,5,0,0,0,0.00946968647651732,,,0.00946968647651732
HR,HRV,Croatia,Medimurska,2021-03-07,2021-02-18,104,7,18,0.00961538461538462,0.0187549838461375,0.00461491270164085,0.000113666762224164,0.00961538461538462,0.0187549838461375,0.00461491270164085,0.000113666762224164,0.00976675539637027,0.00353726954166724,5,0,0,0,0.00961685935328807,,,0.00961685935328807
HR,HRV,Croatia,Medimurska,2021-03-08,2021-02-19,102,7,18,0.00980392156862745,0.0191209083686488,0.00450406580286522,0.000110942744803521,0.00980392156862745,0.0191209083686488,0.00450406580286522,0.000110942744803521,0.0101035400652106,0.0035971282087622,6,0,0,0,0.0097709207674105,,,0.0097709207674105
HR,HRV,Croatia,Medimurska,2021-03-09,2021-02-20,102,7,18,0.00980392156862745,0.0191209083686488,0.00456872969093915,0.000112531870523057,0.00980392156862745,0.0191209083686488,0.00456872969093915,0.000112531870523057,0.0107771094028913,0.00371383386551753,6,0,0,0,0.00993110334617289,,,0.00993110334617289
HR,HRV,Croatia,Medimurska,2021-03-10,2021-02-22,100,9,17,0.01,0.0195013954179879,0.00488350187468399,0.000120265969432831,0.01,0.0195013954179879,0.00488350187468399,0.000120265969432831,0.00962849642705686,0.00354916848705927,6,0,0,0,0.0100968563280767,,,0.0100968563280767
HR,HRV,Croatia,Medimurska,2021-03-11,2021-02-23,100,6,17,0.01,0.0195013954179879,0.00489016236483048,0.000120429594250792,0.01,0.0195013954179879,0.00489016236483048,0.000120429594250792,0.0105381009282304,0.00375101978748915,5,0,0,0,0.0102675333993471,,,0.0102675333993471
HR,HRV,Croatia,Medimurska,2021-03-12,2021-02-24,101,7,17,0.0099009900990099,0.0193092777830645,0.00495081678384476,0.000121919609419437,0.0099009900990099,0.0193092777830645,0.00495081678384476,0.000121919609419437,0.0118161259344201,0.00394823164184092,6,0,0,0,0.0104426305424438,,,0.0104426305424438
HR,HRV,Croatia,Medimurska,2021-03-13,2021-02-24,107,6,18,0.00934579439252336,0.0182316240644272,0.00471801209783226,0.000116200114702479,0.00934579439252336,0.0182316240644272,0.00471801209783226,0.000116200114702479,0.011333835079954,0.00378800337401237,6,0,0,0,0.0106216057634011,,,0.0106216057634011
HR,HRV,Croatia,Medimurska,2021-03-14,2021-02-25,104,6,18,0.00961538461538462,0.0187549838461375,0.00502371420084711,0.000123710261157854,0.00961538461538462,0.0187549838461375,0.00502371420084711,0.000123710261157854,0.00680585684948215,0.00297257607673468,6,0,0,0,0.010804222105386,,,0.010804222105386
HR,HRV,Croatia,Medimurska,2021-03-15,2021-02-26,103,6,18,0.00970873786407767,0.018936178546626,0.00491875152328152,0.000121131916840541,0.00970873786407767,0.018936178546626,0.00491875152328152,0.000121131916840541,0.013206258397293,0.00417108726978803,5,0,0,0,0.0109902086256288,,,0.0109902086256288
