ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
BJ,BEN,Benin,Atlantique,2021-02-28,2021-02-13,100,6,16,0.03,0.0334344809563718,0.0216021641093371,9.11016393523172e-05,0.03,0.0334344809563718,0.0216021641093371,9.11016393523172e-05,0.0240444561955588,0.0112915511777415,19,4,0,0,0.0390168383259873,,,0.0390168383259873
BJ,BEN,Benin,Atlantique,2021-03-01,2021-02-14,101,5,16,0.0198019801980198,0.0271705622473482,0.0164988895402347,7.91434796516858e-05,0.0198019801980198,0.0271705622473482,0.0164988895402347,7.91434796516858e-05,0.0152045825942504,0.00891659949695856,18,3,0,0,0.0389977358301736,,,0.0389977358301736
BJ,BEN,Benin,Atlantique,2021-03-02,2021-02-15,100,4,16,0.02,0.0274394957835608,0.0169710583986594,8.13888811777907e-05,0.02,0.0274394957835608,0.0169710583986594,8.13888811777907e-05,0.0155581775383028,0.00912232413034914,17,3,0,0,0.0390373729061913,,,0.0390373729061913
BJ,BEN,Benin,Atlantique,2021-03-03,2021-02-16,105,13,16,0.00952380952380953,0.0185772237565978,0.0100555541142779,6.183641755485e-05,0.00952380952380953,0.0185772237565978,0.0100555541142779,6.183641755485e-05,0.0160399992203081,0.00900223887770482,19,3,0,0,0.0391361940335454,,,0.0391361940335454
BJ,BEN,Benin,Atlantique,2021-03-04,2021-02-17,102,3,16,0.0196078431372549,0.0269068483623884,0.015755930431055,7.91044320846626e-05,0.0196078431372549,0.0269068483623884,0.015755930431055,7.91044320846626e-05,0.0594360955957062,0.0172289293366744,18,2,0,0,0.0392933954049512,,,0.0392933954049512
BJ,BEN,Benin,Atlantique,2021-03-05,2021-02-19,103,11,15,0.0388349514563107,0.0373112541172863,0.0423274905015493,0.000128544387229387,0.029126213592233,0.0324752782875229,0.0257151871310263,0.000101058106877901,0.0574766638727708,0.0166782880980463,20,3,0,0,0.0395068819992137,,,0.0395068819992137
BJ,BEN,Benin,Atlantique,2021-03-06,2021-02-19,107,4,16,0.0373831775700935,0.035943555304845,0.0415844402566777,0.00012633680073205,0.0280373831775701,0.0312787739529993,0.0252637623981112,9.93070513962413e-05,0.05505659381497,0.0159965416849234,20,3,0,0,0.0397732376437206,,,0.0397732376437206
BJ,BEN,Benin,Atlantique,2021-03-07,2021-02-19,109,2,17,0.036697247706422,0.0352966094275844,0.0402107595267586,0.000122250966665198,0.0275229357798165,0.0307129762630489,0.0244292112208601,9.60676885343445e-05,0.0539214063136304,0.0156761236953474,20,3,0,0,0.0400873792543246,,,0.0400873792543246
BJ,BEN,Benin,Atlantique,2021-03-08,2021-02-20,106,7,17,0.0471698113207547,0.040358496811933,0.0446546792280531,0.000128373302062949,0.0377358490566038,0.0362759984499167,0.0289117613944557,0.000104142418151967,0.054932685501808,0.0161504879608982,19,4,0,0,0.0404428518091165,,,0.0404428518091165
BJ,BEN,Benin,Atlantique,2021-03-09,2021-02-21,103,5,17,0.0388349514563107,0.0373112541172863,0.035315881246029,0.000115997451727469,0.029126213592233,0.0324752782875229,0.0192203661703301,8.62854182028023e-05,0.0574015702434623,0.0168542943623548,16,3,0,0,0.0408320252301634,,,0.0408320252301634
