ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,p_cli_smooth,p_cases_active
AR,ARG,Argentina,Entre Ríos,2020-05-19,2020-05-19,219,219,1,0.0045662100456621,0.00892915096348435,0.00468358920060423,0.000139551275081007,0.0045662100456621,0.00892915096348435,0.00468358920060423,0.000139551275081007,0.00022116472065589,0.000250239166146603,0,0,0.00321675821595899,0.00321675821595899
AR,ARG,Argentina,Entre Ríos,2020-05-20,2020-05-20,206,206,1,0,0,0,0,0,0,0,0,0.000310632649723807,0.000304367118741865,0,0,0.00327280134029537,0.00327280134029537
AR,ARG,Argentina,Entre Ríos,2020-05-21,2020-05-21,239,239,1,0.00418410041841004,0.00818351189714608,0.0028305394817225,0.000106666196425689,0.00418410041841004,0.00818351189714608,0.0028305394817225,0.000106666196425689,0.000403300372960741,0.000322636498875212,0,0,0.00332303784924341,0.00332303784924341
AR,ARG,Argentina,Entre Ríos,2020-05-22,2020-05-22,182,182,1,0.010989010989011,0.0151458014560121,0.0133903863325579,0.000242434594091671,0.010989010989011,0.0151458014560121,0.0133903863325579,0.000242434594091671,0.000355501810239468,0.000348323440934163,0,0,0.00336675008439604,0.00336675008439604
AR,ARG,Argentina,Entre Ríos,2020-05-23,2020-05-23,222,222,1,0.00450450450450451,0.00880875976989955,0.00482919892360254,0.000142578330105925,0,0,0,0,0.000506710725001957,0.000375274546602123,1,0,0.00340387875375965,0.00340387875375965
AR,ARG,Argentina,Entre Ríos,2020-05-24,2020-05-24,235,235,1,0,0,0,0,0,0,0,0,0.0010211222209006,0.000516485747286336,1,0,0.00343344410435711,0.00343344410435711
AR,ARG,Argentina,Entre Ríos,2020-05-25,2020-05-25,225,225,1,0.00444444444444444,0.00869157181696614,0.0042141603981281,0.000132135850716026,0.00444444444444444,0.00869157181696614,0.0042141603981281,0.000132135850716026,0.000642759969406182,0.000419793818509901,0,0,0.00345533535502011,0.00345533535502011
AR,ARG,Argentina,Entre Ríos,2020-05-26,2020-05-26,199,199,1,0,0,0,0,0,0,0,0,0.000487235983576936,0.000389767831279827,1,0,0.00346927002628117,0.00346927002628117
AR,ARG,Argentina,Entre Ríos,2020-05-27,2020-05-27,227,227,1,0.00440528634361234,0.00861516351645047,0.00295166487067899,0.000110649546215662,0,0,0,0,0.000422843562839896,0.000338267559866439,0,0,0.00347518417738784,0.00347518417738784
AR,ARG,Argentina,Entre Ríos,2020-05-28,2020-05-28,253,253,1,0.00395256916996047,0.00773156799537897,0.00195306809346956,9.20270022787237e-05,0,0,0,0,0.0024027987964802,0.000763047035600397,0,0,0.00347285975134348,0.00347285975134348
