"date","ISO2","country","ISO3","population","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-08-24,"PT","Portugal","PRT",10276617,22728,22614,0.00202393523407251,0.0014396487383317,0.00260822172981332,0.00171594508975713,0.00117786584423241,0.00225402433528185,0.0139035550862372,0.0123812906260882,0.0154258195463863,0.0023545274174789,0.0022677590440264,0.0024412957909314,0.00171594508975713
2020-08-25,"PT","Portugal","PRT",10276617,22785,22673,0.0021944261575598,0.00158684118613011,0.00280201112898948,0.00179942944919903,0.00124912896702151,0.00234972993137656,0.0138248847926267,0.0123087725498102,0.0153409970354432,0.00259139580034103,0.00250049680301715,0.0026822947976649,0.00179942944919903
2020-08-26,"PT","Portugal","PRT",10276617,22758,22648,0.00210914843132085,0.00151310742787221,0.0027051894347695,0.00180156428508656,0.00125061151778021,0.00235251705239292,0.0138852271728623,0.0123649552608342,0.0154054990848903,0.00256343181621269,0.00247297344650846,0.00265389018591691,0.00180156428508656
2020-08-27,"PT","Portugal","PRT",10276617,22890,22779,0.00205329838357361,0.00146688361285482,0.00263971315429241,0.00161642638706859,0.0010960089089155,0.00213684386522168,0.0136304062909567,0.0121283042598236,0.0151325083220899,0.00257933697621195,0.0024888604221531,0.0026698135302708,0.00161642638706859
2020-08-28,"PT","Portugal","PRT",10276617,23142,23035,0.00198772794054101,0.0014138836586764,0.00256157222240562,0.0015124016938899,0.00101173055014587,0.00201307283763393,0.0136980381989456,0.0122004866476251,0.0151955897502662,0.00255558604420672,0.00246602778299831,0.00264514430541513,0.0015124016938899
2020-08-29,"PT","Portugal","PRT",10276617,23331,23220,0.00197162573400197,0.00140242546391895,0.002540826004085,0.0015001500150015,0.00100353166632175,0.00199676836368125,0.0134156272770134,0.0119393972929361,0.0148918572610907,0.00252628670794533,0.00243759743457395,0.00261497598131671,0.0015001500150015
2020-08-30,"PT","Portugal","PRT",10276617,23584,23466,0.00186567164179104,0.00131492550528686,0.00241641777829523,0.00135685210312076,0.000887054521053476,0.00182664968518804,0.0139077340569878,0.0124131294280029,0.0154023386859727,0.00243547870946162,0.00234885170652856,0.00252210571239469,0.00135685210312076
2020-08-31,"PT","Portugal","PRT",10276617,23572,23455,0.00199389105718649,0.00142442585994175,0.00256335625443124,0.00139996606142881,0.000922651793237944,0.00187728032961968,0.0142117766842016,0.0127007717765667,0.0157227815918365,0.00253234817374097,0.00244399878357508,0.00262069756390685,0.00139996606142881
2020-09-01,"PT","Portugal","PRT",10276617,23626,23506,0.00177770253110979,0.00124055180162513,0.00231485326059446,0.00126978752222128,0.000815696816722537,0.00172387822772003,0.0144755777533226,0.0129525611428268,0.0159985943638185,0.00276444873970355,0.00267225022232967,0.00285664725707743,0.00126978752222128
2020-09-02,"PT","Portugal","PRT",10276617,23583,23462,0.00178094390026714,0.00124281463212906,0.00231907316840523,0.00118729593351143,0.000747784593983932,0.00162680727303892,0.0148411991688928,0.0132979495339242,0.0163844488038614,0.0028146677968228,0.0027215507585756,0.00290778483507,0.00118729593351143
