ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
ID,IDN,Indonesia,2021-07-29,2021-07-29,1874,1874,1,0.0704375667022412,0.0115852324523286,0.0731618421512454,3.9684221325095e-05,0.0544290288153682,0.0102713057174188,0.0556868556493029,3.49468438858276e-05,0.0941827707873926,0.00299945355655782,534,90,310,1485,0.0583709915796796,0.172701949860724,0.156601910446141,0.0583709915796796
ID,IDN,Indonesia,2021-07-30,2021-07-30,1870,1870,1,0.0636363636363636,0.0110637469734658,0.0589918765212383,3.58784093769434e-05,0.0475935828877005,0.00964967405946307,0.041610668109037,3.04098108547927e-05,0.0893111454259402,0.00292301248838409,539,97,310,1475,0.0578877084236249,0.173669467787115,0.157998692493265,0.0578877084236249
ID,IDN,Indonesia,2021-07-31,2021-07-31,1881,1881,1,0.0536948431685274,0.0101867485403223,0.0511664987411847,3.36629172660664e-05,0.0404040404040404,0.00889836665865193,0.0387594733480884,2.9489598842069e-05,0.0719775022692445,0.00265186827931164,507,70,301,1491,0.0573584322728126,0.16796875,0.159332650165363,0.0573584322728126
ID,IDN,Indonesia,2021-08-01,2021-08-01,1851,1851,1,0.053484602917342,0.0102499821977321,0.0525233709710333,3.3922904582388e-05,0.0421393841166937,0.00915250831349839,0.0397054102297753,2.96933752481826e-05,0.0713979617230588,0.00266727808213837,492,72,291,1463,0.0567847079901649,0.165906499429875,0.160604155987116,0.0567847079901649
ID,IDN,Indonesia,2021-08-02,2021-08-02,1740,1740,1,0.0454022988505747,0.00978188562396068,0.0468877018717329,3.2512326757288e-05,0.0298850574712644,0.00800040755995751,0.030779346715163,2.65636390158329e-05,0.078259335260304,0.00286606909516402,462,73,267,1379,0.056167263572963,0.16221142162819,0.161814660794667,0.056167263572963
ID,IDN,Indonesia,2021-08-03,2021-08-03,1821,1821,1,0.0527182866556837,0.010263921895188,0.0567419525634123,3.54359195402791e-05,0.0406370126304229,0.00906870938341248,0.0453856675131612,3.18823002999406e-05,0.0821020437765244,0.00285666187060812,503,80,298,1446,0.0555077236893611,0.170871559633028,0.162964952632484,0.0555077236893611
ID,IDN,Indonesia,2021-08-04,2021-08-04,1837,1837,1,0.0636908002177463,0.0111671284305893,0.0575007562387134,3.52594701180179e-05,0.0489929232444203,0.00987079343958965,0.0451812506087841,3.14585058208924e-05,0.0711061978595762,0.00268049637481781,495,57,284,1445,0.054807967838011,0.164256795835743,0.164055060756734,0.054807967838011
ID,IDN,Indonesia,2021-08-05,2021-08-05,1703,1703,1,0.0634174985320024,0.0115749291267967,0.0684424087868379,3.90510980736743e-05,0.0452143276570758,0.0098680593378503,0.0498181917461055,3.36482969719071e-05,0.0890401240747625,0.0030641126596459,461,64,275,1348,0.0540701898698049,0.169439309919901,0.165086135151994,0.0540701898698049
ID,IDN,Indonesia,2021-08-06,2021-08-06,1712,1712,1,0.0619158878504673,0.0114161102323253,0.0579077088925149,3.50845431367168e-05,0.0379672897196262,0.00905307104199314,0.0385025679522926,2.89014626167492e-05,0.0737919170356806,0.00281957338726731,457,60,274,1361,0.0532964819510529,0.167584097859327,0.166058632641215,0.0532964819510529
ID,IDN,Indonesia,2021-08-07,2021-08-07,1627,1627,1,0.0590043023970498,0.0114495910082098,0.0485681624608135,3.2820712888647e-05,0.0454824830977259,0.0101243779510196,0.0371857420889545,2.88896856682941e-05,0.0770098129467348,0.00294103519707648,435,61,246,1289,0.0524900777957533,0.160260586319218,0.166972232711911,0.0524900777957533
ID,IDN,Indonesia,2021-08-08,2021-08-08,1607,1607,1,0.0566272557560672,0.0113004196768669,0.0529827795987467,3.46547868941848e-05,0.0410703173615433,0.00970281080154276,0.0383742698949887,2.9719399198415e-05,0.0939366166800725,0.00323598323890406,440,66,255,1276,0.0516536454693215,0.166557805355976,0.1678276376799,0.0516536454693215
ID,IDN,Indonesia,2021-08-09,2021-08-09,1717,1717,1,0.0518345952242283,0.0104861206890161,0.0543416759258632,3.40327193888758e-05,0.0390215492137449,0.00915950537272866,0.0446725831908594,3.10141346345386e-05,0.0842085787289696,0.00297954228993516,444,55,292,1342,0.0507905558887942,0.178702570379437,0.168624055180601,0.0507905558887942
ID,IDN,Indonesia,2021-08-10,2021-08-10,1760,1760,1,0.0454545454545455,0.00973147617350119,0.0353583971642159,2.82598188320815e-05,0.0340909090909091,0.008477722078552,0.0271829445858076,2.48830683399325e-05,0.0756890552187249,0.0027917078603053,459,63,297,1388,0.0499043332408441,0.176261127596439,0.169361876002658,0.0499043332408441
ID,IDN,Indonesia,2021-08-11,2021-08-11,1739,1739,1,0.0563542265669925,0.0108384217475821,0.0534347720443053,3.43684143481177e-05,0.0402530189764232,0.00923795636105509,0.0384677851788389,2.93902142794318e-05,0.0833211274133889,0.0029386096811911,459,57,263,1400,0.048998587999354,0.158147925435959,0.170040945693993,0.048998587999354
