ISO2,ISO_3,country,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
GP,GLP,Guadeloupe,2021-05-13,2021-03-21,4,43,101,1597232.97343955,0,0,1,1,3933.8387483749,1,3933.8387483749,5,995.351351351352,1,9,,,,0.00985915492957747,0.00472023024666716,0.0149980796124878,0.00845070422535211,0.0036896017962452,0.013211806654459,0.00716860239175657,0.00713250251459303,0.00720470226892011,0.00845070422535211,0.0036896017962452,0.013211806654459,0.00716860239175657,0.00713250251459303,0.00720470226892011,0.00657391235089865,0.00519708287712418,0.00795074182467313,0.0858895705521472,0.042874183358712,0.128904957745583
GP,GLP,Guadeloupe,2021-05-14,2021-03-21,2,44,103,1625571.45747431,0,0,1,1,3933.8387483749,1,3933.8387483749,5,1016.75675675676,1,9,,,,0.00984528832630098,0.00471355545180604,0.0149770212007959,0.00843881856540084,0.00368438398754095,0.0131932531432607,0.00467777574357792,0.00464867585770632,0.00470687562944953,0.00843881856540084,0.00368438398754095,0.0131932531432607,0.00467777574357792,0.00464867585770632,0.00470687562944953,0.00651601314009283,0.00515904659032713,0.00787297968985854,0.089171974522293,0.0445929409715129,0.133751008073073
GP,GLP,Guadeloupe,2021-05-15,2021-03-22,1,44,100,1564823.67921056,0,0,1,1,3933.8387483749,1,3933.8387483749,5,984.648648648649,1,10,,,,0.0098661028893587,0.0047235747380663,0.0150086310406511,0.00845665961945032,0.00369221624650133,0.0132211029923993,0.00222799776129477,0.0022079216498479,0.00224807387274164,0.00845665961945032,0.00369221624650133,0.0132211029923993,0.00222799776129477,0.0022079216498479,0.00224807387274164,0.00626468010958049,0.00494480412111419,0.0075845560980468,0.0927152317880795,0.0464550887280181,0.138975374848141
GP,GLP,Guadeloupe,2021-05-16,2021-03-23,3,44,102,1584401.14598116,0,0,1,1,3933.8387483749,1,3933.8387483749,5,1006.05405405405,1,10,,,,0.00985221674876847,0.00471689048792648,0.0149875430096105,0.0091484869809993,0.00419820454977861,0.01409876941222,0.00239758892938583,0.00237683398339219,0.00241834387537947,0.0091484869809993,0.00419820454977861,0.01409876941222,0.00239758892938583,0.00237683398339219,0.00241834387537946,0.00600861757169428,0.00472754326479354,0.00728969187859502,0.096551724137931,0.0484793298225233,0.144624118453339
GP,GLP,Guadeloupe,2021-05-17,2021-03-23,1,45,103,1597051.9918207,0,0,1,1,3933.8387483749,1,3933.8387483749,5,1016.75675675676,1,10,,,,0.0098314606741573,0.00470689950741464,0.0149560218409,0.0098314606741573,0.00470689950741464,0.0149560218409,0.00256267463926416,0.00254129934632108,0.00258404993220724,0.0098314606741573,0.00470689950741464,0.0149560218409,0.00256267463926416,0.00254129934632108,0.00258404993220723,0.0057606136553505,0.00451737244880133,0.00700385486189966,0.100719424460432,0.0506877641831462,0.150751084737717
GP,GLP,Guadeloupe,2021-05-19,2021-03-26,3,44,100,1536569.60876981,0,0,1,1,3933.8387483749,1,3933.8387483749,5,984.648648648649,1,10,,,,0.0098314606741573,0.00470689950741464,0.0149560218409,0.0098314606741573,0.00470689950741464,0.0149560218409,0.00254880485040948,0.00252754509769253,0.00257006460312643,0.0098314606741573,0.00470689950741464,0.0149560218409,0.00254880485040948,0.00252754509769253,0.00257006460312643,0.0055624062783068,0.0043392385367903,0.00678557401982331,0.102189781021898,0.051469247422184,0.152910314621612
GP,GLP,Guadeloupe,2021-05-20,2021-03-27,3,44,101,1581582.57641816,0,3,0,1,3933.8387483749,1,3933.8387483749,5,995.351351351352,0,9,0,0,0,0.00912921348314607,0.00418931197430079,0.0140691149919913,0.0098314606741573,0.00470689950741464,0.0149560218409,0.00253030154617494,0.00250919593500533,0.00255140715734454,0.0098314606741573,0.00470689950741464,0.0149560218409,0.00253030154617494,0.00250919593500533,0.00255140715734454,0.00535925290642272,0.00415760102586606,0.00656090478697938,0.0970149253731343,0.0469013654597385,0.14712848528653
GP,GLP,Guadeloupe,2021-05-22,2021-03-29,4,43,100,1539170.03322508,0,6,0,1,3933.8387483749,1,3933.8387483749,5,1006.05405405405,0,10,0,0,0,0.00842696629213483,0.00367918091570324,0.0131747516685664,0.0098314606741573,0.00470689950741464,0.0149560218409,0.00252193298577567,0.00250089708973594,0.0025429688818154,0.0098314606741573,0.00470689950741464,0.0149560218409,0.00252193298577567,0.00250089708973594,0.0025429688818154,0.00521821993520107,0.00403240061491801,0.00640403925548412,0.0902255639097744,0.0415339760062741,0.138917151813275
GP,GLP,Guadeloupe,2021-05-24,2021-03-30,4,43,102,1576464.10243764,1,9,0,1,3933.8387483749,1,3933.8387483749,2,1016.75675675676,0,9,0.0526315789473684,0,0.153036255664379,0.0077247191011236,0.00317745131239766,0.0122719868898495,0.0098314606741573,0.00470689950741464,0.0149560218409,0.00251334894334989,0.00249238455814345,0.00253431332855633,0.0098314606741573,0.00470689950741464,0.0149560218409,0.00251334894334989,0.00249238455814345,0.00253431332855632,0.0048693124599469,0.00372318940431076,0.00601543551558304,0.083969465648855,0.0364766286421861,0.131462302655524
GP,GLP,Guadeloupe,2021-05-25,2021-03-31,2,43,101,1593199.09892888,1,10,0,1,3933.8387483749,1,3933.8387483749,2,1006.05405405405,0,8,0.0666666666666667,0,0.155927353122826,0.00701754385964912,0.00268339309368603,0.0113516946256122,0.00982456140350877,0.00470357857920865,0.0149455442278089,0.00250228093227644,0.00248140875193888,0.00252315311261401,0.00982456140350877,0.00470357857920865,0.0149455442278089,0.00250228093227644,0.00248140875193888,0.002523153112614,0.0046576032225579,0.00353655353110256,0.00577865291401325,0.0775193798449612,0.0313730669727111,0.123665692717211
