"date","ISO2","country","ISO3","population","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-05-28,"AT","Austria","AUT",8858775,3,6,914,75,914,51,141,13060,2241.3,13039,0.00328227571115974,0,0.00699035159578642,0.00656455142231947,0.00132918182229327,0.0117999210223457,0.00154824325998101,0.00119812061544908,0.00189836590451294,0.00390505359877489,0.00283540686218852,0.00497470033536125,0.0107963246554364,0.00902394265424169,0.0125687066566312,0.00324324558979086,0.00310919382825296,0.00337729735132876,0.00390505359877489
2020-05-29,"AT","Austria","AUT",8858775,6,20,832,227,832,53,153,12982,2302.3,12963,0.00721153846153846,0.00146205604085397,0.012961020882223,0.0240384615384615,0.0136307292159058,0.0344461938610172,0.00514785921625544,0.00447991361656992,0.00581580481594097,0.00408257587428747,0.0029857035307376,0.00517944821783735,0.0117855492219997,0.00992912254001773,0.0136419759039817,0.0033510470293535,0.00321439415704679,0.00348769990166021,0.00408257587428747
2020-05-30,"AT","Austria","AUT",8858775,2,10,880,249,879,53,157,12947,2235.3,12928,0.00227272727272727,0,0.00541892735863098,0.0113636363636364,0.00436064309169081,0.0183666296355819,0.00534483868890463,0.00468274524091617,0.00600693213689309,0.00409361241986561,0.00299378096364788,0.00519344387608333,0.0121263613192245,0.010241065660569,0.01401165697788,0.00326233537268821,0.00312731502503893,0.00339735572033749,0.00409361241986561
2020-05-31,"AT","Austria","AUT",8858775,1,8,905,238,904,51,154,12961,2334,12945,0.00110497237569061,0,0.00326948158255676,0.00883977900552486,0.00274137155663836,0.0149381864544114,0.00496744030722992,0.00433791830224134,0.0055969623122185,0.00393488156778026,0.00285708068673094,0.00501268244882959,0.0118817992438855,0.0100163888586241,0.0137472096291469,0.00340191084195107,0.00326413260675348,0.00353968907714866,0.00393488156778026
2020-06-01,"AT","Austria","AUT",8858775,1,2,718,54,718,48,145,12758,2310,12746,0.00139275766016713,0,0.00412061090744622,0.00278551532033426,0,0.0066405912260074,0.00141903610658538,0.00104082324063991,0.00179724897253085,0.00376234519517166,0.00269999527826399,0.00482469511207932,0.011365417777081,0.00952605500085255,0.0132047805533096,0.00341949675665914,0.003280289943775,0.00355870356954327,0.00376234519517166
2020-06-02,"AT","Austria","AUT",8858775,1,10,795,96,795,43,141,12572,2174,12560,0.00125786163522013,0,0.00372167410680379,0.0125786163522013,0.00483164006900093,0.0203255926354016,0.00227839088643645,0.00182314566219382,0.00273363611067908,0.00342029907731467,0.00239974983430069,0.00444084832032865,0.0112153993000318,0.0093746098270016,0.013056188773062,0.00326583343348155,0.00312877618000507,0.00340289068695803,0.00342029907731467
2020-06-03,"AT","Austria","AUT",8858775,1,10,719,163,718,41,140,12328,2142,12315,0.00139082058414465,0,0.0041148825190103,0.0139082058414465,0.00534812486475655,0.0224682868181364,0.00428338676617438,0.00362722721328922,0.00493954631905954,0.00332576249188838,0.00230945761420022,0.00434206736957655,0.0113562621674238,0.00948584106742909,0.0132266832674184,0.00328177785949027,0.00314302762122549,0.00342052809775505,0.00332576249188838
2020-06-04,"AT","Austria","AUT",8858775,2,9,858,165,857,42,146,12463,2228,12449,0.00233100233100233,0,0.00555777997535532,0.0104895104895105,0.00367252673418221,0.0173064942448388,0.00363268091851787,0.00307940329178232,0.00418595854525341,0.00336997512637407,0.00235251564174518,0.00438743461100295,0.0117146754393003,0.00982562698793135,0.0136037238906693,0.00337679619640586,0.00323681785447155,0.00351677453834018,0.00336997512637407
2020-06-05,"AT","Austria","AUT",8858775,4,13,780,194,779,42,146,12378,2287,12364,0.00512820512820513,0.00011555903518734,0.0101408512212229,0.0166666666666667,0.00768254664614855,0.0256507866871848,0.00469881560781844,0.00403916663706336,0.00535846457857352,0.00339311682016481,0.00236868231259574,0.00441755132773388,0.0117951203748586,0.00989317719833767,0.0136970635513796,0.00349004718507169,0.00334726069184183,0.00363283367830155,0.00339311682016481
2020-06-06,"AT","Austria","AUT",8858775,2,8,731,121,731,40,139,12054,2221,12044,0.0027359781121751,0,0.0065225899439728,0.0109439124487004,0.00340191870644955,0.0184859061909513,0.00312314482616215,0.00256753708748428,0.00367875256484001,0.00331840053094409,0.00229174412863284,0.00434505693325533,0.0115314418450307,0.00962551716512424,0.0134373665249371,0.00347938063578201,0.0033349301859921,0.00362383108557191,0.00331840053094409
