ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cli_smooth_slope2,p_cliWHO_smooth_slope2,p_cases_infected,p_cases_infected_smooth,p_cases_active
HK,HKG,Hong Kong,2021-07-22,2021-07-22,161,161,1,0.0062111801242236,0.0121358239675658,0.00451836370485579,5.90271912764577e-05,0,0,0,0,0.00106970939561419,0.000604910147007092,44,0,1,156,0.00331201484800864,0.00589743849535906,0.00359289177622502,3.62075456259665e-05,0.00168804042549317,0.00320174849754358,0.00158233879485715,1.84021510588211e-05,0.00172051419611203,0.000675579823659042,-2.65048214525279e-05,-0.000149789571475058,-8.4075090123918e-05,-0.000149115295924434,4.33063080896656e-05,9.00815487429574e-06,-4.60615630027581e-06,0.00636942675159236,0.0125038758540115,0.00331201484800864
HK,HKG,Hong Kong,2021-07-23,2021-07-23,152,152,1,0,0,0,0,0,0,0,0,0.000978090766823161,0.000605919258853994,22,0,3,139,0.00329837389136582,0.00591600780392649,0.00354887876210182,3.61240036675667e-05,0.0016173820352239,0.00303538285116043,0.00148642823680409,1.73033603298541e-05,0.00179269671718516,0.000688644404056444,-2.27960750656348e-05,-0.000118840564477854,-8.46176449907269e-05,-0.000138904037753293,5.46716625471108e-05,7.50780019146754e-06,-4.27980698516469e-06,0.0211267605633803,0.0123208345448977,0.00329837389136582
HK,HKG,Hong Kong,2021-07-24,2021-07-24,141,141,1,0,0,0,0,0,0,0,0,0.000616839724478256,0.000493413257060646,23,0,2,133,0.00329302126215763,0.00593656487321895,0.00352676440307442,3.60998093517434e-05,0.00157182305839681,0.00291037148892315,0.00142412148966208,1.64982444109455e-05,0.00186118412075389,0.000701983985528382,-1.87950992078581e-05,-8.94122227119708e-05,-7.9455626756452e-05,-0.000122690803033988,6.21489582089535e-05,6.14233073389779e-06,-2.852370309313e-06,0.0148148148148148,0.0121777651244055,0.00329302126215763
HK,HKG,Hong Kong,2021-07-25,2021-07-25,189,189,1,0,0,0,0,0,0,0,0,0.0082352035711537,0.00155394228882439,36,0,2,180,0.00329852586574282,0.00596303358668073,0.00352164701056247,3.61354724034798e-05,0.00155880798101434,0.00284241883848069,0.00140023386301318,1.60666991659449e-05,0.00192145043313022,0.000714773355755086,-1.35213717328712e-05,-6.26222070011587e-05,-6.72694352455618e-05,-0.000100164609013369,6.53687011846375e-05,5.26870970695785e-06,1.38690886894574e-09,0.010989010989011,0.0120821926983487,0.00329852586574282
HK,HKG,Hong Kong,2021-07-26,2021-07-26,189,189,1,0.00529100529100529,0.0103427090891254,0.00937576172661332,8.2514429518241e-05,0,0,0,0,0.00128729365439952,0.000611535321556819,32,0,1,183,0.00331406254684999,0.00599465254646552,0.00352737143906265,3.62103536038139e-05,0.0015811124304255,0.00283915701700008,0.00141561750923522,1.60437018511433e-05,0.00196948562590903,0.000726178656814408,-6.82958951852414e-06,-3.95409465125765e-05,-4.8052811603704e-05,-7.19781559431448e-05,6.41999060499807e-05,5.00188334012184e-06,4.22362750047726e-06,0.00543478260869565,0.0120399430259011,0.00331406254684999
HK,HKG,Hong Kong,2021-07-27,2021-07-27,158,158,1,0.00632911392405063,0.0123655172261724,0.00864364218439499,8.14927520542783e-05,0,0,0,0,8.97102359379205e-05,0.000175820944483046,32,0,0,156,0.00333736841566615,0.00602776184930064,0.00353665921101645,3.62867665846782e-05,0.00163793888967956,0.00290158645182866,0.00146761960957988,1.64238656977848e-05,0.00200187977925079,0.00073536699343654,9.22224035095658e-07,-2.11779425476358e-05,-2.28748566065016e-05,-3.96063989054691e-05,5.8733528247957e-05,5.29615216458025e-06,9.45899340457283e-06,0,0.0120549554799045,0.00333736841566615
HK,HKG,Hong Kong,2021-07-28,2021-07-28,161,161,1,0,0,0,0,0,0,0,0,0.00109749405524053,0.000620613467697711,44,0,0,149,0.0033640757642834,0.00605557240119131,0.00354281236974396,3.63168493778542e-05,0.00172392123080148,0.00302239609341536,0.00154962138097506,1.71545471390349e-05,0.00201626622779163,0.000741621865273228,8.67681937912639e-06,-8.34656774684296e-06,5.98013421805169e-06,-5.45290231368139e-06,4.92920052799333e-05,5.86360680527572e-06,1.50092040569949e-05,0,0.0121258599673518,0.0033640757642834
HK,HKG,Hong Kong,2021-07-29,2021-07-29,138,138,1,0,0,0,0,0,0,0,0,0.00370644922164566,0.00122564806252304,24,1,3,127,0.00338864130859903,0.00606968988333038,0.0035400533932271,3.62500814022621e-05,0.00183017797192517,0.00318773573080149,0.00165206426214333,1.81467497072144e-05,0.00201132584578352,0.000744381032669269,1.50445695388673e-05,-1.47089481245404e-06,3.54659894502115e-05,2.76060042232058e-05,3.64381880997277e-05,6.30677410075035e-06,2.00139390734897e-05,0.0230769230769231,0.0122462857106232,0.00338864130859903
HK,HKG,Hong Kong,2021-07-30,2021-07-30,153,153,1,0.0065359477124183,0.0127682900213672,0.00567181424651089,6.52562744560483e-05,0,0,0,0,0.00285496764370004,0.00102015889178904,20,0,1,144,0.00340563324333132,0.00606179640776048,0.00352436176160211,3.60409481453333e-05,0.00194589767010324,0.0033793974569899,0.00176384114169528,1.92868099245052e-05,0.0019874627441163,0.000743376694639978,1.87686635289485e-05,-4.00440245384501e-07,6.23457686177381e-05,5.66199420055327e-05,2.10464372270678e-05,6.2606271228011e-06,2.36335658956984e-05,0.00689655172413793,0.0124055554575494,0.00340563324333132
HK,HKG,Hong Kong,2021-07-31,2021-07-31,149,149,1,0.00671140939597315,0.0131099050447362,0.00771124869979388,7.98828396765788e-05,0.00671140939597315,0.0131099050447362,0.00771124869979388,7.98828396765788e-05,0.00199847735059003,0.000853892651761366,33,0,3,141,0.00341017010764859,0.00602476529724518,0.00349325229686284,3.56540088364265e-05,0.00205919884730319,0.00357686177539877,0.00187287070691183,2.04482771224226e-05,0.00194590585563846,0.000738573753101415,1.86073736509604e-05,-4.73245228327021e-06,8.33984777148084e-05,7.87728073164422e-05,4.0759037513737e-06,5.35479089730527e-06,2.51113188267284e-05,0.0208333333333333,0.0125885511275719,0.00341017010764859
