"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active"
"2020-10-21","LR",4661010,3,0,1384,82,6056.11786824017,5910.44039434202,6205.38592507045,0,0,0.00129931449798223,0.00126806001153012,0.00133133932883011,0,0
"2020-10-22","LR",4661010,1,0,1385,82,6051.74787790318,5906.16298652561,6200.92138690707,0,0,0.0012983769350212,0.00126714231175767,0.00133038148103245,0,0
"2020-10-23","LR",4661010,0,0,1385,82,6043.00974356225,5897.62258163864,6191.98096441123,0,0,0.0012965022052221,0.00126531000397739,0.0013284633511645,0,0
"2020-10-24","LR",4661010,8,0,1393,82,6069.3584931693,5923.32491511868,6218.99238121877,0,0,0.00130215521811138,0.0012708243310181,0.00133425853650148,0,0
"2020-10-25","LR",4661010,2,0,1395,82,6069.43857553674,5923.39060852378,6219.08752213694,0,0,0.00130217239944491,0.00127083842526057,0.00133427894858345,0,0
"2020-10-26","LR",4661010,0,0,1395,82,6060.16181734816,5914.32466888062,6209.59506090075,0,0,0.0013001821101753,0.00126889336621904,0.00133224238113644,0,0
"2020-10-27","LR",4661010,21,0,1416,82,6141.6766146924,5993.86528450764,6293.1330366992,0,0,0.00131767076549769,0.00128595846919608,0.00135016510084707,0,0
"2020-10-28","LR",4661010,3,0,1419,82,6143.73810618093,5995.86465779191,6295.25849425029,0,0,0.00131811304978555,0.0012863874262857,0.00135062110878335,0,0
"2020-10-29","LR",4661010,0,0,1419,82,6130.17871959791,5982.61298454381,6281.38427661916,0,0,0.00131520394069052,0.00128354433578641,0.0013476444540173,0,0
"2020-10-30","LR",4661010,7,0,1426,82,6145.31491636285,5997.36002497354,6296.9198554056,0,0,0.00131845134774713,0.00128670825099572,0.001350977546799,0,0
"2020-10-31","LR",4661010,0,0,1426,82,6129.60356934787,5982.00848844635,6280.84028799504,0,0,0.00131508054463472,0.00128341464370305,0.00134752774355666,0,0
"2020-11-01","LR",4661010,0,0,1426,82,6113.60056722103,5966.36640297974,6264.46808175556,0,0,0.00131164716815047,0.00128005870036317,0.00134401515589015,0,0
"2020-11-02","LR",4661010,0,0,1426,82,6098.08964449517,5951.20481231347,6248.5998188732,0,0,0.00130831936522238,0.00127680584515233,0.00134061068714146,0,0
"2020-11-03","LR",4661010,0,0,1426,82,6083.57739371697,5937.02408908576,6233.74831397111,0,0,0.00130520582314069,0.0012737634309057,0.00133742435952103,0,0
"2020-11-04","LR",4661010,10,0,1436,82,6112.85040394181,5965.57387463426,6263.76285772883,0,0,0.00131148622378879,0.00127988866675554,0.0013438638530552,0,0
"2020-11-05","LR",4661010,0,0,1436,82,6100.05520690238,5953.06902828232,6250.67059536407,0,0,0.00130874106833119,0.00127720580481104,0.00134105496348733,0,0
"2020-11-06","LR",4661010,0,0,1436,82,6087.10596784137,5940.41400392363,6237.42032781834,0,0,0.00130596286380878,0.00127449072280978,0.00133821217457554,0,0
"2020-11-07","LR",4661010,0,0,1436,82,6074.47271628334,5928.06750293813,6224.49369251993,0,0,0.0013032524530699,0.00127184183319455,0.00133543881959488,0,0
