"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/12/24","AE",9770526,1311,2,198435,647,50938.0048132613,50688.6070828348,51188.6296286585,153.911002309687,2655.17143227286,3792.53113389381,0.00521343526574324,0.00518790974844495,0.00523908637351341,1.57525810084009e-05,0.00027175317196565,0.000388160385008321
"2020/12/25","AE",9770526,1230,6,199665,653,51385.8675988291,51135.6967826779,51637.262323936,447.862785567799,2510.03499247946,4138.73463056534,0.00525927341054403,0.00523366876897702,0.00528500331752211,4.58381448007813e-05,0.000256898655454114,0.000423593840348548
"2020/12/26","AE",9770526,1227,2,200892,655,51517.4434075526,51267.0982664801,51769.0110225269,131.575808723501,2628.87315676044,4137.41743105988,0.00527274001497489,0.00524711753149013,0.00529848761699492,1.3466604430867e-05,0.000269061579362303,0.000423459026777051
"2020/12/27","AE",9770526,944,2,201836,657,51576.2871955186,51326.1200735325,51827.6736496661,58.843787966056,2400.49815613743,4047.89978428219,0.00527876259635547,0.00525315833288121,0.00530449165681214,6.02258138057828e-06,0.0002456877097648,0.000414297017814823
"2020/12/28","AE",9770526,1027,3,202863,660,51736.2039726459,51485.9558144786,51987.6684652421,159.916777127248,2257.7139069352,3915.44934888813,0.00529512986021898,0.00526951730280219,0.00532086690780436,1.63672638635062e-05,0.00023107393674969,0.000400740896538029
"2020/12/29","AE",9770526,1506,2,204369,662,51943.0208794613,51692.2326589518,52195.0258152937,206.816906815468,2228.77148570745,3766.55388810416,0.0053162972883406,0.00529062945628022,0.00534208964955354,2.11674281216249e-05,0.000228111719441456,0.000385501649358915
"2020/12/30","AE",9770526,1723,3,206092,665,52285.0534738564,52033.3054358487,52538.0195216391,342.032594395088,2503.2315439798,4002.22009286802,0.00535130385752583,0.0053255377894546,0.00537719458723503,3.500656918523e-05,0.000256202331786415,0.000409621763748238
"2020/12/31","AE",9770526,1730,4,207822,669,52704.271362566,52451.4257080142,52958.3358767421,419.217888709616,2626.91944314119,3828.43875621644,0.0053942102362315,0.00536833182860515,0.00542021339247673,4.29063787056722e-05,0.000268861619440058,0.000391835481141593
"2021/01/01","AE",9770526,1856,2,209678,671,52989.806705636,52736.0482358266,53244.7862256218,285.535343069969,2718.82598323253,4101.23645484389,0.00542343438885849,0.00539746255583646,0.00544953119469943,2.92241526269895e-05,0.000278268128372263,0.000419755953245904
"2021/01/02","AE",9770526,1963,3,211641,674,53370.0566511501,53115.1642355293,53626.1722606456,380.249945514108,3009.18044841916,4194.26761176893,0.00546235245176668,0.00543626456093861,0.00548856553481825,3.89180629081902e-05,0.00030798551157012,0.000429277565176013
