"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2021-06-21","VC",110696,1,0,2196,12,905.846022760072,768.604323473333,1067.59354831903,0,10.282455216298,0.00818318658994066,0.00694337937661102,0.00964437331357073,0,9.28891307391233e-05,0.00818318658994066,0.00694337937661102,0.00964437331357073,0,9.28891307391233e-05
"2021-06-22","VC",110696,11,0,2207,12,907.143342167952,769.702384636189,1069.1262748635,0,10.282455216298,0.0081949062492588,0.00695329898674016,0.00965821958213035,0,9.28891307391233e-05,0.0081949062492588,0.00695329898674016,0.00965821958213035,0,9.28891307391233e-05
"2021-06-23","VC",110696,0,0,2207,12,904.046835075751,767.072685457941,1065.48009791609,0,10.282455216298,0.0081669331780349,0.0069295429415511,0.00962528093080226,0,9.28891307391233e-05,0.0081669331780349,0.0069295429415511,0.00962528093080226,0,9.28891307391233e-05
"2021-06-24","VC",110696,9,0,2216,12,904.730585328724,767.650510084019,1066.28917883435,0,6.47190204095114,0.00817311000694446,0.00693476286481913,0.00963258996562068,0,5.84655456470978e-05,0.00817311000694446,0.00693476286481913,0.00963258996562068,0,5.84655456470978e-05
"2021-06-25","VC",110696,0,0,2216,12,901.843561134219,765.19860633383,1062.88981975017,0,2.09234314443688,0.00814702935186654,0.00691261297909437,0.00960188100518695,0,1.89017050700737e-05,0.00814702935186654,0.00691261297909437,0.00960188100518695,0,1.89017050700737e-05
"2021-06-26","VC",110696,2,0,2218,12,899.869864873859,763.521998656676,1060.56639511734,0,0,0.00812919947309622,0.00689746692433942,0.00958089176770019,0,0,0.00812919947309622,0.00689746692433942,0.00958089176770019,0,0
"2021-06-27","VC",110696,1,0,2219,12,897.639492049745,761.627302926037,1057.94087815884,0,0,0.00810905084239489,0.0068803507166116,0.00955717350363919,0,0,0.00810905084239489,0.0068803507166116,0.00955717350363919,0,0
"2021-06-28","VC",110696,0,0,2219,12,895.177078785088,759.536072659345,1055.04140122863,0,0,0.00808680601634285,0.00686145906500095,0.00953098035365891,0,0,0.00808680601634285,0.00686145906500095,0.00953098035365891,0,0
"2021-06-29","VC",110696,6,0,2225,12,895.318566649482,759.654523824325,1055.21037609546,0,0,0.0080880841823506,0.00686252912322329,0.00953250683037743,0,0,0.0080880841823506,0.00686252912322329,0.00953250683037743,0,0
"2021-06-30","VC",110696,0,0,2225,12,893.201170427402,757.856381466466,1052.71704555566,0,0,0.0080689561540381,0.00684628515453554,0.00950998270538826,0,0,0.0080689561540381,0.00684628515453554,0.00950998270538826,0,0
"2021-07-01","VC",110696,2,0,2227,12,892.003587997111,756.838688751111,1051.30777908921,0,0,0.00805813749365028,0.00683709157287627,0.00949725174431966,0,0,0.00805813749365028,0.00683709157287627,0.00949725174431966,0,0
"2021-07-02","VC",110696,2,0,2229,12,890.928879667161,755.925262340478,1050.04331535022,0,0,0.0080484288471775,0.00682883990695669,0.00948582889490336,0,0,0.0080484288471775,0.00682883990695669,0.00948582889490336,0,0
"2021-07-03","VC",110696,0,0,2229,12,889.168203595104,754.430136947511,1047.96992533127,0,0,0.00803252333955251,0.00681533331780291,0.00946709840763237,0,0,0.00803252333955251,0.00681533331780291,0.00946709840763237,0,0
"2021-07-04","VC",110696,4,0,2233,12,889.113781161154,754.382719070958,1047.90750883614,0,0,0.00803203170088489,0.00681490495655632,0.00946653455261386,0,0,0.00803203170088489,0.00681490495655632,0.00946653455261386,0,0
"2021-07-05","VC",110696,5,0,2238,12,889.552885162894,754.754045551569,1048.42675592861,0,0,0.00803599845670028,0.00681825942718408,0.00947122530108237,0,0,0.00803599845670028,0.00681825942718408,0.00947122530108237,0,0
"2021-07-06","VC",110696,2,0,2240,12,888.843737141704,754.15143361899,1047.59223922019,0,0,0.00802959219069979,0.0068128155815837,0.00946368648569222,0,0,0.00802959219069979,0.0068128155815837,0.00946368648569222,0,0
