"date","region","country","ISO2","ISO3","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-03,"Homyel'","Belarus","BY","BLR",1,0,21,5,21,NA,NA,NA,NA,NA,0.0476190476190476,0,0.138701380737578,0,0,0,0.00449236298292902,0.000563560216913298,0.00842116574894474,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,"Hrodna","Belarus","BY","BLR",0,0,28,11,28,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00741239892183288,0.00304829628855513,0.0117765015551106,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,"Mahilyow","Belarus","BY","BLR",1,1,25,51,25,NA,NA,NA,NA,NA,0.04,0,0.116814586821685,0.04,0,0.116814586821685,0.0384905660377358,0.0281321326953494,0.0488489993801223,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,"Minsk","Belarus","BY","BLR",9,3,187,294,187,NA,NA,NA,NA,NA,0.0481283422459893,0.0174510561139021,0.0788056283780765,0.0160427807486631,0,0.0340503552439783,0.0296640096862072,0.0263238644590218,0.0330041549133927,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,"Vitsyebsk","Belarus","BY","BLR",1,0,22,10,22,NA,NA,NA,NA,NA,0.0454545454545455,0,0.132495514436018,0,0,0,0.00857632933104631,0.00328360612287008,0.0138690525392225,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"-99","Belarus","BY","BLR",0,0,29,17,29,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.011060507482108,0.00583193004533235,0.0162890849188837,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"Brest","Belarus","BY","BLR",2,1,31,29,31,NA,NA,NA,NA,NA,0.0645161290322581,0,0.150996898883724,0.032258064516129,0,0.0944545976581013,0.0176506390748631,0.0112835267718451,0.0240177513778811,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"Homyel'","Belarus","BY","BLR",2,0,33,19,33,NA,NA,NA,NA,NA,0.0606060606060606,0,0.142015174182824,0,0,0,0.010863350485992,0.00600528652007929,0.0157214144519047,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"Hrodna","Belarus","BY","BLR",1,0,23,16,23,NA,NA,NA,NA,NA,0.0434782608695652,0,0.126820982266037,0,0,0,0.0131255127153404,0.00673647668072818,0.0195145487499527,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"Mahilyow","Belarus","BY","BLR",1,1,22,9,22,NA,NA,NA,NA,NA,0.0454545454545455,0,0.132495514436018,0.0454545454545455,0,0.132495514436018,0.00771869639794168,0.00269540699472176,0.0127419858011616,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"Minsk","Belarus","BY","BLR",9,13,307,538,307,NA,NA,NA,NA,NA,0.0293159609120521,0.0104460471858605,0.0481858746382438,0.0423452768729642,0.0198191840608126,0.0648713696851157,0.0330649622026919,0.0303175512037171,0.0358123732016667,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"Vitsyebsk","Belarus","BY","BLR",0,3,24,40,24,NA,NA,NA,NA,NA,0,0,0,0.125,0,0.257312691271066,0.0314465408805031,0.0218557863942157,0.0410372953667906,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-05,"-99","Belarus","BY","BLR",1,1,32,16,32,NA,NA,NA,NA,NA,0.03125,0,0.091534265027531,0.03125,0,0.091534265027531,0.00943396226415094,0.00483326187869958,0.0140346626496023,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-05,"Brest","Belarus","BY","BLR",0,0,29,20,29,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0130123617436565,0.00734677258993342,0.0186779508973795,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-05,"Homyel'","Belarus","BY","BLR",0,0,28,20,28,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0134770889487871,0.00761053895786214,0.019343638939712,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-05,"Hrodna","Belarus","BY","BLR",1,1,32,106,32,NA,NA,NA,NA,NA,0.03125,0,0.091534265027531,0.03125,0,0.091534265027531,0.0625,0.0509797789096244,0.0740202210903756,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-05,"Mahilyow","Belarus","BY","BLR",2,0,27,19,27,NA,NA,NA,NA,NA,0.0740740740740741,0,0.172858264945582,0,0,0,0.013277428371768,0.00734704472935524,0.0192078120141807,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-05,"Minsk","Belarus","BY","BLR",7,5,273,259,273,NA,NA,NA,NA,NA,0.0256410256410256,0.00689134137813503,0.0443907099039163,0.0183150183150183,0.00240918160547572,0.0342208550245609,0.0179003386550556,0.0157399233909673,0.020060753919144,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-05,"Vitsyebsk","Belarus","BY","BLR",1,1,23,33,23,NA,NA,NA,NA,NA,0.0434782608695652,0,0.126820982266037,0.0434782608695652,0,0.126820982266037,0.0270713699753897,0.0179608776409298,0.0361818623098495,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-06,"-99","Belarus","BY","BLR",1,1,24,13,24,58,38,1769,1509,1766,0.0416666666666667,0,0.121612373465642,0.0416666666666667,0,0.121612373465642,0.0102201257861635,0.00469296669540903,0.015747284876918,0.0327868852459016,0.0244884665523636,0.0410853039394397,0.0214810627473149,0.0147249533391763,0.0282371721554534,0.0161221393619522,0.0153152820554221,0.0169289966684822
2020-05-06,"Brest","Belarus","BY","BLR",1,0,29,36,29,4,1,141,164,141,0.0344827586206897,0,0.100892243239672,0,0,0,0.0234222511385817,0.0158612572631266,0.0309832450140367,0.0283687943262411,0.000965062977649405,0.0557725256748329,0.00709219858156028,0,0.020943272274139,0.0219456710825639,0.0186240007883653,0.0252673413767625
