ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BY,BLR,Belarus,Homyel',2020-12-28,2020-12-22,100,7,114638.7876300316,5,80642.2605036183,152,94,2673506.9255359853,69,2,13,85,5,24,71,3,15,82,2,42,56,3,35,62,3,22,75,5,7,88,5,12,83,5,5,90,3,12,85,4,24,72,3,25,72,4,15,81,2,37,61,87,2,8,3,76,0,10,14,85,1,12,2,58,4,25,13,65,3,16,16,78,2,18,2,93,0,4,3,88,1,9,2,95,0,4,1,88,2,8,2,76,3,18,3,75,2,9,14,85,2,10,3,63,4,19,14,5,1,55,39,46,0,24,30,7,1,45,47,55,1,19,25,81,15,3,1,81,8,11,0,92,0,3,4,1,28,0,33,39,100,10,0,17,19,25,29,14,3,22,17,44,14,4,25,23,34,14,3,33,18,32,14,5,14,18,49,14,5,6,5,70,69,13,4,14,69,15,5,11,69,13,6,12,69,15,5,11,69,13,6,12,69,11,12,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,4,36,43,17,1,64,18,17,4,25,54,17,2,44,37,17,5,10,68,17,3,27,53,19,1,44,36,56,0,34,5,2,3,19,0,1,4,40,36,19,0,81,0,19,0,25,56,19,0,54,14,5,1,1,6,19,0,33,9,23,16,19,1,13,40,22,5,21,0,13,65,1,23,1,14,61,1,64,3,32,1,36,3,59,2,75,2,21,2,56,3,31,10,90,2,8,0,73,3,18,6,25,3,0,2,18,19,33,25,2,0,2,20,19,32,25,0,28,41,5,1,25,0,1,15,23,36,25,0,11,35,12,17,55,8,26,11,55,9,22,14,55,12,20,13,26,0,49,25,75,14,11,86,1,0,0,2,0,5,0,6,39,0,0,7,8,7,1,1,5,7,2,0,3,3,0,2,15,28,1,32,39,0,0,28,0,4,16,24,17,10,1,0,30,3,33,31,3,30,3,7,40,16,3,1,9.906666666666666,9.214597115446773,3.1886363636363635,2.433890168652961,12.977777777777778,5.404790122881871,2.3582089552238807,1.1507769778049357
BY,BLR,Belarus,Hrodna,2020-12-28,2020-12-21,100,2,40518.5046121787,2,40518.5046121787,186,98,2410730.5034887926,71,3,8,89,5,23,72,5,10,85,3,38,59,5,25,70,4,22,74,5,17,78,4,9,87,5,9,86,4,10,86,6,13,81,4,26,70,5,11,84,3,38,59,92,0,7,1,77,1,10,12,90,0,8,2,62,5,18,15,75,3,10,12,78,3,12,7,83,2,7,8,91,1,8,0,91,1,6,2,90,0,9,1,87,0,11,2,74,4,10,12,89,0,10,1,62,1,20,17,2,0,52,46,50,0,19,31,4,4,55,37,46,3,14,37,86,10,3,1,86,2,12,0,99,0,0,1,0,26,1,24,49,100,6,1,9,28,24,32,16,4,12,26,42,16,7,16,23,38,16,8,28,15,33,16,10,13,17,44,16,10,1,6,67,76,12,4,8,76,12,2,10,76,14,3,7,76,11,8,5,76,14,3,7,76,12,4,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,3,44,44,9,1,69,21,9,4,21,66,9,4,48,39,9,3,26,62,9,3,21,67,14,1,47,38,53,0,22,13,6,6,16,2,0,11,35,36,16,2,82,0,16,1,18,65,16,0,59,16,2,4,0,3,16,0,30,13,16,25,18,1,17,32,21,11,18,0,12,68,2,19,3,12,65,1,58,3,35,4,34,3,60,3,81,1,18,0,54,3,32,11,74,2,18,6,80,3,15,2,22,2,0,7,18,25,26,22,2,1,7,21,18,29,23,1,24,41,6,5,23,1,7,10,20,39,23,0,19,30,21,7,51,3,36,10,51,19,16,14,51,19,18,12,23,1,49,27,73,12,15,89,2,1,0,0,0,4,1,3,41,0,4,9,1,10,1,0,3,9,0,2,3,2,1,2,12,27,4,28,41,0,0,27,1,3,7,23,22,14,3,0,27,4,22,39,8,27,4,15,29,21,3,1,7.888888888888889,8.084455636532871,4.828571428571428,3.52708606847831,13.088235294117649,5.509111297395791,2.1449275362318843,1.19158029423659
BY,BLR,Belarus,Minsk,2020-12-28,2020-12-27,100,9,162112.92493263294,5,80234.28288218404,140,87,2182777.794914815,65,1,11,88,1,23,76,2,16,82,0,44,56,0,40,60,0,30,70,1,15,84,1,19,80,1,5,94,1,8,91,1,17,82,1,36,63,1,10,89,0,39,61,89,1,6,4,77,1,13,9,84,0,13,3,56,2,21,21,60,2,18,20,70,1,18,11,85,0,7,8,81,1,13,5,95,1,3,1,92,0,6,2,83,0,13,4,64,4,16,16,90,1,5,4,61,0,26,13,13,0,50,37,52,0,18,30,16,0,42,42,58,0,17,25,83,12,5,0,83,5,12,0,95,0,1,4,0,33,0,34,33,100,17,0,18,22,21,22,20,3,18,25,34,20,4,17,24,35,20,5,26,24,25,20,6,9,14,51,20,4,4,6,66,67,11,9,13,67,12,7,14,67,12,8,13,67,13,5,15,67,15,4,14,67,13,8,12,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,23,2,22,53,23,2,52,23,23,2,29,46,23,0,40,37,23,1,11,65,23,2,26,49,25,0,43,32,57,0,32,10,1,0,25,0,0,6,32,37,25,0,75,0,25,1,16,58,25,0,55,10,5,1,1,3,25,0,18,21,26,10,25,1,19,34,16,5,25,0,6,69,0,29,0,10,61,0,78,0,18,4,49,0,48,3,72,0,25,3,61,0,28,11,89,0,7,4,74,0,26,0,29,1,0,5,17,18,30,29,0,1,6,16,19,29,29,1,24,39,6,1,29,1,1,10,20,39,29,1,13,28,19,10,60,3,31,6,60,17,10,13,60,17,10,13,30,0,48,22,78,11,11,90,0,0,1,0,0,3,0,6,43,0,1,10,7,12,0,2,2,4,0,1,5,1,0,1,11,33,0,23,44,0,0,33,0,6,18,22,14,5,2,0,34,2,51,10,3,34,2,15,34,13,1,1,9.129032258064516,9.12478855980989,3.3684210526315788,2.0849661690375925,14.360655737704919,5.21866134458907,2.359375,1.0292112483114406
BY,BLR,Belarus,Vitsyebsk,2020-12-28,2020-12-22,100,9,193613.7129145952,7,155994.3076649664,136,95,2214129.9571013874,74,5,13,82,4,22,74,5,13,82,4,38,58,2,29,69,4,18,78,5,10,85,4,12,84,5,9,86,4,9,87,4,8,88,3,28,69,5,14,81,4,30,66,87,1,11,1,78,5,12,5,87,2,9,2,62,4,17,17,71,5,11,13,82,3,10,5,90,2,5,3,88,5,6,1,91,2,5,2,91,2,7,0,92,1,3,4,72,2,11,15,86,0,14,0,70,3,13,14,4,1,52,43,50,0,20,30,6,1,40,53,60,2,10,28,90,8,2,0,90,4,6,0,96,0,0,4,0,19,0,31,50,100,11,0,17,27,24,21,15,6,19,25,35,15,5,23,29,28,15,3,32,29,21,15,5,16,23,41,15,4,6,16,59,71,12,7,10,71,15,7,7,71,18,4,7,71,12,8,9,71,14,6,9,71,15,8,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,16,2,44,38,16,2,66,16,16,6,27,51,16,1,49,34,16,3,13,68,16,2,23,59,18,0,51,31,49,0,29,11,3,8,18,0,0,8,31,43,18,0,82,0,19,0,18,63,19,0,56,16,1,4,1,3,19,0,28,16,11,26,19,0,13,43,18,7,20,0,7,73,0,21,1,7,70,1,56,3,32,9,34,2,63,1,73,2,21,4,51,1,35,13,87,0,10,3,77,2,19,2,24,0,3,4,19,10,40,24,0,1,4,13,23,35,25,1,29,37,5,3,25,0,3,12,23,37,25,0,15,29,18,13,56,7,31,6,56,18,9,17,56,15,15,14,26,0,55,19,81,7,12,93,0,0,0,0,0,2,1,4,38,0,4,10,1,6,2,0,6,10,0,4,2,1,1,4,11,26,1,34,37,1,1,26,0,1,13,22,25,12,1,0,26,3,23,38,10,26,0,19,35,18,1,1,7.641509433962264,8.306842266892074,3.5454545454545454,2.538342336679948,12.117647058823529,5.5785554535381445,2.0985915492957745,1.1358436710526774
BY,BLR,Belarus,-99,2020-12-30,2020-12-25,100,2,40836.4178927604,1,21018.5631707174,126,87,2622811.3036215925,58,5,3,92,4,21,75,4,12,84,5,37,58,3,25,72,4,16,80,4,10,86,4,9,87,4,5,91,4,7,89,3,7,90,3,27,70,4,5,91,4,37,59,97,1,1,1,79,2,12,7,88,1,7,4,63,2,19,16,75,2,9,14,84,2,8,6,90,1,3,6,91,1,7,1,95,0,4,1,93,0,7,0,93,0,2,5,73,3,14,10,95,0,4,1,63,2,19,16,12,1,54,33,47,3,22,28,15,3,38,44,62,4,6,28,94,2,4,0,94,2,4,0,98,0,1,1,0,29,3,20,48,100,17,1,12,15,19,36,19,6,12,14,49,19,14,11,20,36,19,13,25,14,29,19,13,11,14,43,19,14,3,5,59,81,13,3,3,81,13,1,5,81,7,11,1,81,13,4,2,81,12,4,3,81,13,3,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,22,7,38,33,22,4,58,16,22,9,30,39,22,6,44,28,22,9,20,49,22,6,33,39,24,2,45,29,55,0,27,5,6,7,25,2,1,9,30,33,25,2,73,0,27,1,19,53,27,1,56,7,3,2,1,3,27,1,21,11,17,23,28,1,15,25,21,10,28,1,10,59,2,28,1,14,54,3,63,4,31,2,43,4,49,4,71,4,21,4,57,5,31,7,81,3,13,3,68,3,25,4,28,5,0,7,13,12,35,28,4,0,4,20,11,33,29,4,27,32,3,5,29,1,0,14,20,36,29,1,16,31,9,14,55,8,26,11,55,16,20,9,55,20,13,12,32,1,37,30,70,13,17,87,2,1,1,0,0,4,1,4,51,0,0,6,1,8,1,3,5,6,0,2,2,1,1,4,9,35,4,10,51,0,0,35,2,1,6,16,23,12,4,1,39,3,31,22,5,39,3,22,22,13,1,0,8.019607843137255,8.493503861371774,3.3225806451612905,2.022986188356107,11.89090909090909,6.005160519249495,2.0943396226415096,1.1971785893282625
BY,BLR,Belarus,Brest,2020-12-30,2020-12-24,100,5,97830.1959097269,3,54736.144423868696,132,92,2500130.907423963,75,1,9,90,4,20,76,2,8,90,1,48,51,2,27,71,2,30,68,2,18,80,1,14,85,2,6,92,1,9,90,2,9,89,1,29,70,2,12,86,2,32,66,91,0,7,2,80,0,12,8,92,0,6,2,52,3,23,22,73,1,15,11,70,0,19,11,82,0,13,5,86,1,10,3,94,0,5,1,91,0,9,0,91,0,7,2,71,1,13,15,88,0,10,2,68,1,21,10,8,0,50,42,50,0,17,33,8,0,36,56,65,1,10,24,90,8,2,0,90,2,8,0,98,0,1,1,0,20,1,35,44,100,10,0,15,28,18,29,11,9,19,25,36,11,9,23,24,33,11,5,31,24,29,11,8,12,24,45,11,9,5,10,65,66,17,7,10,66,18,3,13,66,16,8,10,66,15,10,9,66,17,6,11,66,19,5,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,7,34,47,12,2,73,13,12,7,27,54,12,4,49,35,12,6,14,68,12,7,22,59,14,0,49,37,51,0,31,12,2,4,14,0,1,6,33,46,14,0,86,0,14,0,19,67,14,0,61,17,3,1,1,3,14,0,26,14,22,24,15,1,13,41,24,6,16,0,12,71,1,16,0,13,71,0,66,1,29,4,27,1,70,2,73,0,23,4,51,1,35,13,86,0,13,1,78,0,22,0,17,0,1,7,23,18,34,17,0,0,6,25,17,35,18,0,27,43,7,5,18,0,4,17,23,38,18,0,13,41,18,10,48,8,32,12,48,21,6,25,48,14,20,18,20,0,50,30,70,15,15,86,4,0,0,0,2,1,1,6,38,0,3,10,6,9,1,0,7,6,0,4,1,1,0,2,12,23,0,30,46,0,1,23,0,2,11,27,22,8,6,1,25,0,21,45,9,25,0,14,37,19,4,1,8.578947368421053,9.45468018727281,3.2777777777777772,1.9214743016921907,12.146153846153846,6.067152259376844,2.3285714285714287,1.1127903115289566
BY,BLR,Belarus,Homyel',2020-12-30,2020-12-23,100,6,97467.7937059618,4,63471.26657954849,149,94,2690860.846577771,69,4,9,87,5,25,70,4,13,83,1,38,61,3,33,64,4,19,77,5,10,85,6,11,83,6,5,89,4,11,85,5,19,76,3,25,72,5,13,82,2,41,57,91,2,5,2,75,0,10,15,87,1,11,1,62,5,22,11,67,4,11,18,81,2,15,2,90,1,5,4,89,1,8,2,95,0,3,2,89,2,9,0,81,3,13,3,75,2,9,14,87,2,8,3,59,4,23,14,5,1,55,39,45,0,30,25,6,1,40,53,60,1,17,22,83,13,3,1,83,7,10,0,93,0,3,3,1,25,0,31,44,100,9,0,14,21,24,32,14,4,20,18,44,14,7,22,21,36,14,6,27,21,32,14,8,12,15,51,14,8,6,8,64,71,14,4,11,71,16,4,9,71,12,7,10,71,14,7,8,71,13,5,11,71,13,9,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,18,3,37,42,18,1,64,17,18,5,27,50,18,3,44,35,18,4,13,65,18,3,27,52,19,0,44,37,56,0,31,6,2,5,19,0,1,4,40,36,19,0,81,0,19,0,25,56,19,0,55,14,4,1,2,5,19,0,35,11,19,16,19,0,15,38,23,5,21,0,13,64,2,22,1,14,63,0,63,3,33,1,36,3,58,3,73,2,23,2,56,3,32,9,87,2,10,1,73,3,18,6,24,2,0,3,18,16,37,24,1,0,3,23,17,32,24,0,29,38,7,2,24,0,2,16,26,32,24,0,15,33,14,14,53,8,27,12,53,12,21,14,53,15,18,14,25,0,44,31,69,16,15,84,1,0,0,2,0,4,0,9,42,0,0,5,8,6,1,0,3,9,2,1,3,2,0,2,16,27,2,33,38,0,0,27,0,3,16,25,16,12,1,0,29,3,33,32,3,29,4,9,38,17,3,0,8.830769230769231,8.682902076007679,3.2214285714285715,2.455609378871727,12.657812500000002,5.271842083030627,2.4328358208955225,1.2213241770161143
BY,BLR,Belarus,Hrodna,2020-12-30,2020-12-23,100,1,21077.4345076827,1,21077.4345076827,187,97,2408281.0030177836,69,2,5,93,3,25,72,5,9,86,3,34,63,5,25,70,4,18,78,4,16,80,3,8,89,4,6,90,3,8,89,5,12,83,3,25,72,4,8,88,3,35,62,95,0,4,1,75,2,9,14,91,0,7,2,66,5,15,14,75,3,9,13,82,2,11,5,84,2,5,9,92,1,6,1,94,1,4,1,92,0,7,1,88,0,11,1,75,4,8,13,92,0,6,2,65,2,18,15,3,0,55,42,48,0,23,29,6,4,54,36,46,2,13,39,87,10,3,0,87,2,11,0,99,0,0,1,0,25,1,21,53,100,7,1,9,29,18,36,10,5,16,23,46,10,9,18,20,43,10,8,31,16,35,10,11,13,15,51,10,11,2,6,71,79,12,2,7,79,11,1,9,79,12,3,6,79,9,8,4,79,11,2,8,79,10,3,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,11,3,48,38,11,1,68,20,11,4,29,56,11,4,51,34,11,3,25,61,11,3,28,58,16,1,54,29,46,0,25,17,4,8,18,2,1,11,32,36,18,2,80,0,18,1,20,61,18,0,56,14,5,4,0,3,18,0,20,15,20,27,21,1,13,33,21,11,21,0,15,62,2,22,3,14,60,1,54,5,35,6,35,4,58,3,73,2,22,3,51,4,33,12,75,2,18,5,73,4,20,3,24,2,1,6,15,25,27,24,2,2,6,22,17,27,25,1,22,43,6,3,25,1,7,9,20,38,25,0,19,34,15,7,47,3,40,10,47,22,17,14,47,24,15,14,25,0,48,27,73,12,15,89,2,1,0,1,0,2,1,4,42,0,3,7,2,9,1,1,6,8,0,2,2,1,1,4,11,29,3,29,39,0,0,29,1,4,8,21,23,12,2,0,29,4,23,38,6,29,4,14,31,15,3,4,6.403508771929825,7.490135534542384,4.473684210526316,3.2858158895081075,13.149253731343286,5.732030502105619,2.1641791044776117,1.1882890032792264
BY,BLR,Belarus,Mahilyow,2020-12-30,2020-12-21,100,5,173942.22416712932,3,131046.74023709592,171,94,2750519.3686230583,75,4,9,87,5,26,69,3,15,82,3,43,54,4,26,70,4,22,74,3,12,85,3,13,84,4,7,89,4,16,80,4,15,81,4,29,67,4,8,88,3,32,65,91,0,5,4,74,0,12,14,85,1,11,3,57,1,25,17,74,2,14,10,78,1,15,6,88,1,8,3,87,2,10,1,93,1,5,1,84,0,13,3,85,2,8,5,71,2,13,14,92,2,4,2,68,2,13,17,6,0,54,40,46,1,17,36,6,0,40,54,61,1,17,21,83,11,5,1,83,6,11,0,94,0,2,3,1,25,0,30,45,100,8,0,16,30,20,26,18,5,20,18,39,18,5,17,25,35,18,7,32,18,25,18,4,10,20,48,18,9,2,10,61,71,13,5,11,71,16,6,7,71,13,9,7,71,14,10,5,71,15,6,8,71,16,4,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,4,44,43,9,2,68,21,9,5,31,55,9,2,50,39,9,6,18,67,9,4,35,52,11,0,54,35,46,0,28,13,5,8,13,0,2,10,29,46,13,0,86,1,13,0,26,61,13,0,62,17,2,3,0,3,13,1,27,16,23,20,14,0,22,31,25,8,16,0,11,72,1,18,0,13,68,1,57,1,35,7,33,3,62,2,69,1,26,4,50,2,37,11,83,1,11,5,66,2,29,3,20,0,0,9,18,12,41,20,0,2,8,15,17,38,21,1,25,43,5,5,21,0,6,8,21,44,21,0,20,27,20,12,53,8,33,6,53,18,13,16,53,18,13,16,23,0,54,23,77,11,12,89,1,1,0,2,0,1,1,5,36,0,3,7,3,7,2,4,2,11,0,3,5,1,1,2,13,25,2,29,44,0,0,25,0,0,11,21,22,16,4,1,25,0,35,38,2,25,0,20,28,22,3,2,9.619047619047619,8.430797175464779,3.8292682926829267,2.6542648607890493,13.971830985915492,4.956876409842667,2.16,1.0139566598765986
BY,BLR,Belarus,Minsk,2020-12-30,2020-12-30,117,8,162469.10419721,7,147599.7249827323,255,113,2680679.684967773,85,2,13,102,2,38,77,3,15,99,2,69,46,1,46,70,1,43,73,3,23,91,2,24,91,3,6,108,1,20,96,2,20,95,1,41,75,3,15,99,2,46,69,104,0,7,6,79,4,17,17,102,0,10,5,48,5,29,35,71,4,17,25,74,2,24,17,94,1,10,12,93,1,18,5,111,0,3,3,97,1,15,4,97,2,9,9,76,3,19,19,102,1,6,8,71,1,21,24,4,0,64,49,55,0,21,41,6,1,65,45,52,1,31,33,86,20,7,4,86,12,18,1,105,0,2,10,0,39,2,31,45,117,8,0,14,36,27,32,13,7,15,35,47,13,7,19,35,43,13,2,43,27,32,13,6,8,20,70,13,7,3,11,83,87,9,5,16,87,9,9,12,87,11,9,10,87,11,8,11,87,12,8,10,87,12,12,6,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,14,0,44,59,14,1,77,25,14,0,40,63,14,1,54,48,14,1,14,88,14,0,32,71,16,0,51,50,66,0,30,10,5,6,16,0,3,4,43,51,16,0,101,0,16,0,32,69,16,0,72,16,6,2,1,4,16,0,33,18,30,20,17,0,23,44,29,4,17,1,17,81,1,19,4,15,76,3,73,1,39,4,40,0,75,2,77,1,37,2,63,0,40,14,103,1,12,1,85,1,30,1,20,0,4,10,25,17,41,20,1,3,13,25,24,31,22,1,35,44,9,6,22,1,3,7,34,50,22,1,17,44,13,20,57,5,49,6,57,24,11,25,57,25,15,20,23,3,56,35,82,16,19,103,0,0,1,2,0,3,1,7,48,0,0,8,7,8,1,6,7,9,0,1,7,1,3,3,8,29,0,33,53,0,2,29,0,2,17,30,23,10,6,0,31,1,72,9,4,31,2,22,35,23,3,1,7,6.93454483639064,4.60377358490566,3.2601299091713263,12.821428571428571,6.048320914634305,2.3734939759036147,1.18641541868562
